original.names,new.name,short.name,description,original.variables,design.logical,design.logical.statistical,modification.IDs,associated.modification.IDs.without.resulting.action,known.remaining.dependencies.after.statistical.treatment,suspected.but.untestable.dependencies,networks.of.dependencies,recode.operation.type,condition.human.readable,condition.if.variable.conditioned,first.priority.variable.if.merged,second.priority.variable.if.merged,third.priority.variable.if.merged,fourth.priority.variable.if.merged,recode.operation.Rcode,original.levels,new.levels,recode.pattern,domain
autotyp_MaximallyInflectedVerbSynthesis_MaximallyInflectedVerbSynthesis_VerbIsProsodicallyCoherent,o_autotyp_MaximallyInflectedVerbSynthesis_MaximallyInflectedVerbSynthesis_VerbIsProsodicallyCoherent,TLI0439,autotyp_MaximallyInflectedVerbSynthesis: Verb Is Prosodically Coherent,TRUE,FALSE,FALSE,D-POV-060,,,,,include without modification,none,,,,,,,1 True;2 False;3 ?,,,Morphosyntax
autotyp_MaximallyInflectedVerbSynthesis_MaximallyInflectedVerbSynthesis_VerbIsSyntacticallyCoherent,o_autotyp_MaximallyInflectedVerbSynthesis_MaximallyInflectedVerbSynthesis_VerbIsSyntacticallyCoherent,TLI0440,autotyp_MaximallyInflectedVerbSynthesis: Verb Is Syntactically Coherent,TRUE,TRUE,TRUE,,D-POV-060;S-MOR-23,,,,include without modification,none,,,,,,,1 True;2 False;3 ?,,,Morphosyntax
autotyp_MaximallyInflectedVerbSynthesis_MaximallyInflectedVerbSynthesis_VerbProsodicCoherencyNotes,o_autotyp_MaximallyInflectedVerbSynthesis_MaximallyInflectedVerbSynthesis_VerbProsodicCoherencyNotes,TLI0441,autotyp_MaximallyInflectedVerbSynthesis: Verb Prosodic Coherency Notes,TRUE,FALSE,FALSE,A-IV2,,,,,include without modification,none,,,,,,,"1 Watters’ (2004: 49) description suggests that prefixes or prefixes and the stem may form a tonal domain (a so-called tonal compound) that does not include the suffix string);2 Verb can have an [empty?] auxiliary to which some of the inflectional formatives attach.;3 up to 3 phonological & prosodic words:  preverb complex; verb complex; auxiliary;4 two primary stress slots can be found within a grammatical word;5 there are preverbs which can be detached from the verb;6 The verb particles seem to participate in the “verbal” processes;7 The verb is incoherent prosodically, ie wrt stress (p125f);8 The prosodic domain of a word is extended when it hosts a clitic;9 The postverbal particle is prosodically a separate word.;10 The postverbal modifiers are written and pronounced prosodically as a separate word (but see below for their clear inflectional status).;11 some parts of the syntactic word have secondary stress/are separate prosodic words;12 some particles do not participate in the tone sandhi, whereas others do;13 See below on Connective.;14 S/O agreement marker cliticizes to aspect formative, and the combination forms a phonologically separate word.;15 Provisionally judged on the basis of Borgman’s use of spaces.;16 probably not, as stress does not affect some preverbal particles, their distribution is describes as “precede the stressed portion of the complex”;17 probably not as complex predicates/compounds allow some kind of variation in the position of inflectional formatives and stress patterns;18 Preverbs, quantificational elements and incorporates are word-like (Rice 2000: 34);19 Preverbal isolating formatives (TAM, chiefly) have their own tones.  Each piece of bipartite stem has its own tone.;20 presumably;21 Prefix a- is teated as prefix because of syntax; phonologically it is free. (p141);22 Periphrastic construction consisting of two stress domains [TODO @ Manuel add pages];23 p. 62;24 One stress per inflected verb form.  (Wallis 1964.);25 One intonation counter also includes auxiliaries;26 One accent per word.;27 not discussed;28 no stress on formatives.;29 No evidence otherwise.;30 NB: Object is W. position clitic (or can be), but when it’s cliticized to the verb that is phonologically coherent.;31 MW would code it as “1”;32 MAN (mood/aspect/negation) and future are separate words.;33 Fixed ad-verbal position of clitic string; all else is affixal.;34 External sandhi shifting word boundaries cutting across the grammatical word. Noonan p. 36, 42;35 except monomoraic formatives, all formatives and semiwords (preverbs) are PrWds [p. 27ff];36 except monomoraic (AGR) formatives, all elements are isolating;37 Clitic cluster is separate from the verb with its affixes.  Arguments and others are split between clitics and affixes.;38 BB: But Okelle says it’s unclear, p. 224. More research needed.;39 as per default. The grammare is silent as to phonological wordhood.;40 as a result of separable preverbs;41 all material preceding the main V is an unfooted semi-PrWd;42 all formatives are isolating;43 agreement is through wackernagel clitics in the past and perfect tenses, the aspectual clitic does not always attach to the verb;44 6 slots, about 4 of them inflectional, are postposed isolating formatives.;45 ?",,,Morphosyntax
autotyp_MorphologyPerLanguage_HasAnyEnclitics,o_autotyp_MorphologyPerLanguage_HasAnyEnclitics,TLI0442,autotyp_MorphologyPerLanguage: Has Any Enclitics,TRUE,FALSE,FALSE,D-POV-053,,,,,include without modification,none,,,,,,,1 true;2 false;3 ?,,,Morphosyntax
autotyp_MorphologyPerLanguage_HasAnyEndoclitics,o_autotyp_MorphologyPerLanguage_HasAnyEndoclitics,TLI0443,autotyp_MorphologyPerLanguage: Has Any Endoclitics,TRUE,FALSE,FALSE,A-IV2,,,,,include without modification,none,,,,,,,1 true;2 false;3 ?,,,Morphosyntax
autotyp_MorphologyPerLanguage_HasAnyFlexivity,o_autotyp_MorphologyPerLanguage_HasAnyFlexivity,TLI0444,autotyp_MorphologyPerLanguage: Has Any Flexivity,TRUE,FALSE,FALSE,D-POV-057,,,,,include without modification,none,,,,,,,1 true;2 false;3 ?,,,Morphosyntax
autotyp_MorphologyPerLanguage_HasAnyFlexivityForNouns,o_autotyp_MorphologyPerLanguage_HasAnyFlexivityForNouns,TLI0445,autotyp_MorphologyPerLanguage: Has Any Flexivity For Nouns,TRUE,FALSE,FALSE,D-POV-057,,,,,include without modification,none,,,,,,,1 true;2 false;3 ?,,,Morphosyntax
autotyp_MorphologyPerLanguage_HasAnyFlexivityForVerbs,o_autotyp_MorphologyPerLanguage_HasAnyFlexivityForVerbs,TLI0446,autotyp_MorphologyPerLanguage: Has Any Flexivity For Verbs,TRUE,FALSE,FALSE,D-POV-057,,,,,include without modification,none,,,,,,,1 true;2 false;3 ?,,,Morphosyntax
autotyp_MorphologyPerLanguage_HasAnyInfixes,o_autotyp_MorphologyPerLanguage_HasAnyInfixes,TLI0447,autotyp_MorphologyPerLanguage: Has Any Infixes,TRUE,FALSE,FALSE,D-POV-053,,,,,include without modification,none,,,,,,,1 true;2 false;3 ?,,,Morphosyntax
autotyp_MorphologyPerLanguage_HasAnyInterposedFormatives,o_autotyp_MorphologyPerLanguage_HasAnyInterposedFormatives,TLI0448,autotyp_MorphologyPerLanguage: Has Any Interposed Formatives,TRUE,FALSE,FALSE,D-POV-053,,,,,include without modification,none,,,,,,,1 true;2 false;3 ?,,,Morphosyntax
autotyp_MorphologyPerLanguage_HasAnyLexicalFlexivity,o_autotyp_MorphologyPerLanguage_HasAnyLexicalFlexivity,TLI0449,autotyp_MorphologyPerLanguage: Has Any Lexical Flexivity,TRUE,FALSE,FALSE,D-POV-057,,,,,include without modification,none,,,,,,,1 true;2 false;3 ?,,,Morphosyntax
autotyp_MorphologyPerLanguage_HasAnyLexicalFlexivityForNouns,o_autotyp_MorphologyPerLanguage_HasAnyLexicalFlexivityForNouns,TLI0450,autotyp_MorphologyPerLanguage: Has Any Lexical Flexivity For Nouns,TRUE,FALSE,FALSE,D-POV-057,,,,,include without modification,none,,,,,,,1 true;2 false;3 ?,,,Morphosyntax
autotyp_MorphologyPerLanguage_HasAnyLexicalFlexivityForVerbs,o_autotyp_MorphologyPerLanguage_HasAnyLexicalFlexivityForVerbs,TLI0451,autotyp_MorphologyPerLanguage: Has Any Lexical Flexivity For Verbs,TRUE,FALSE,FALSE,D-POV-057,,,,,include without modification,none,,,,,,,1 true;2 false;3 ?,,,Morphosyntax
autotyp_MorphologyPerLanguage_HasAnyPolyexponence,o_autotyp_MorphologyPerLanguage_HasAnyPolyexponence,TLI0452,autotyp_MorphologyPerLanguage: Has Any Polyexponence,TRUE,FALSE,FALSE,D-POV-056,,,,,include without modification,none,,,,,,,1 true;2 false;3 ?,,,Morphosyntax
autotyp_MorphologyPerLanguage_HasAnyPolyexponenceForNouns,o_autotyp_MorphologyPerLanguage_HasAnyPolyexponenceForNouns,TLI0453,autotyp_MorphologyPerLanguage: Has Any Polyexponence For Nouns,TRUE,TRUE,TRUE,,D-U100LGAC-11;D-POV-056;S-MOR-01-O;S-MOR-01-C;S-MOR-03;S-MOR-04-O;S-MOR-04-C;S-MOR-02,S-MOR-01-C,,fusional/agglutinative,include without modification,none,,,,,,,1 true;2 false;3 ?,,,Morphosyntax
autotyp_MorphologyPerLanguage_HasAnyPolyexponenceForVerbs,o_autotyp_MorphologyPerLanguage_HasAnyPolyexponenceForVerbs,TLI0454,autotyp_MorphologyPerLanguage: Has Any Polyexponence For Verbs,TRUE,TRUE,FALSE,S-MOR-05,D-POV-056;S-SYN-01-O;S-MOR-01-O;S-MOR-06-O;S-MOR-08-O,,,,include without modification,none,,,,,,,1 true;2 false;3 ?,,,Morphosyntax
autotyp_MorphologyPerLanguage_HasAnyPostposedFormatives,o_autotyp_MorphologyPerLanguage_HasAnyPostposedFormatives,TLI0455,autotyp_MorphologyPerLanguage: Has Any Postposed Formatives,TRUE,FALSE,FALSE,D-POV-053,,,,,include without modification,none,,,,,,,1 true;2 false;3 ?,,,Morphosyntax
autotyp_MorphologyPerLanguage_HasAnyPrefixes,o_autotyp_MorphologyPerLanguage_HasAnyPrefixes,TLI0456,autotyp_MorphologyPerLanguage: Has Any Prefixes,TRUE,FALSE,FALSE,D-POV-053,,,,,include without modification,none,,,,,,,1 true;2 false;3 ?,,,Morphosyntax
autotyp_MorphologyPerLanguage_HasAnyPreposedFormatives,o_autotyp_MorphologyPerLanguage_HasAnyPreposedFormatives,TLI0457,autotyp_MorphologyPerLanguage: Has Any Preposed Formatives,TRUE,FALSE,FALSE,D-POV-053,,,,,include without modification,none,,,,,,,1 true;2 false;3 ?,,,Morphosyntax
autotyp_MorphologyPerLanguage_HasAnyProclitics,o_autotyp_MorphologyPerLanguage_HasAnyProclitics,TLI0458,autotyp_MorphologyPerLanguage: Has Any Proclitics,TRUE,FALSE,FALSE,D-POV-053,,,,,include without modification,none,,,,,,,1 true;2 false;3 ?,,,Morphosyntax
autotyp_MorphologyPerLanguage_HasAnySuffixes,o_autotyp_MorphologyPerLanguage_HasAnySuffixes,TLI0459,autotyp_MorphologyPerLanguage: Has Any Suffixes,TRUE,FALSE,FALSE,D-POV-053,,,,,include without modification,none,,,,,,,1 true;2 false;3 ?,,,Morphosyntax
autotyp_MorphologyPerLanguage_HasAnyVerbAgreement,o_autotyp_MorphologyPerLanguage_HasAnyVerbAgreement,TLI0460,autotyp_MorphologyPerLanguage: Has Any Verb Agreement,TRUE,FALSE,FALSE,D-ENWAAU-16,,,,,include without modification,none,,,,,,,1 true;2 false;3 ?,,,Morphosyntax
autotyp_MorphologyPerLanguage_MorphemeClassesCount,o_autotyp_MorphologyPerLanguage_MorphemeClassesCount,TLI0461,autotyp_MorphologyPerLanguage: Morpheme Classes Count,TRUE,FALSE,FALSE,A-U100LG,,,,,include without modification,none,,,,,,,1 8;2 7;3 6;4 5;5 4;6 3;7 2;8 ?,,,Morphosyntax
autotyp_MorphologyPerLanguage_PostposedMorphemeClassesCount,o_autotyp_MorphologyPerLanguage_PostposedMorphemeClassesCount,TLI0462,autotyp_MorphologyPerLanguage: Postposed Morpheme Classes Count,TRUE,FALSE,FALSE,A-U100LG,,,,,include without modification,none,,,,,,,1 3;2 2;3 1;4 0;5 ?,,,Morphosyntax
autotyp_MorphologyPerLanguage_PostposedVerbSlotsInOppositionToZeroCount,o_autotyp_MorphologyPerLanguage_PostposedVerbSlotsInOppositionToZeroCount,TLI0463,autotyp_MorphologyPerLanguage: Postposed Verb Slots In Opposition To Zero Count,TRUE,FALSE,FALSE,D-U100LGAC-12,,,,,include without modification,none,,,,,,,1 9;2 7;3 6;4 5;5 4;6 2;7 14;8 1;9 0;10 ?,,,Morphosyntax
autotyp_MorphologyPerLanguage_PreposedMorphemeClassesCount,o_autotyp_MorphologyPerLanguage_PreposedMorphemeClassesCount,TLI0464,autotyp_MorphologyPerLanguage: Preposed Morpheme Classes Count,TRUE,FALSE,FALSE,A-U100LG,,,,,include without modification,none,,,,,,,1 4;2 3;3 2;4 1;5 0;6 ?,,,Morphosyntax
autotyp_MorphologyPerLanguage_PreposedVerbSlotsInOppositionToZeroCount,o_autotyp_MorphologyPerLanguage_PreposedVerbSlotsInOppositionToZeroCount,TLI0465,autotyp_MorphologyPerLanguage: Preposed Verb Slots In Opposition To Zero Count,TRUE,FALSE,FALSE,D-U100LGAC-12,,,,,include without modification,none,,,,,,,1 8;2 7;3 4;4 3;5 2;6 18;7 17;8 15;9 14;10 13;11 12;12 11;13 1;14 0;15 ?,,,Morphosyntax
autotyp_MorphologyPerLanguage_VerbSlotsInOppositionToZeroCount,o_autotyp_MorphologyPerLanguage_VerbSlotsInOppositionToZeroCount,TLI0466,autotyp_MorphologyPerLanguage: Verb Slots In Opposition To Zero Count,TRUE,FALSE,FALSE,A-U100LG,,,,,include without modification,none,,,,,,,1 9;2 8;3 7;4 6;5 5;6 4;7 2;8 18;9 17;10 15;11 14;12 13;13 12;14 11;15 1;16 0;17 ?,,,Morphosyntax
autotyp_NPStructurePerLanguage_NPHasAdjAgreement,o_autotyp_NPStructurePerLanguage_NPHasAdjAgreement,TLI0467,autotyp: NPStructurePerLanguage: NP Has Adj Agreement,TRUE,FALSE,FALSE,D-AUTOTYPMOD-00,,,,,include without modification,none,,,,,,,1 true;2 false;3 ?,,,Morphosyntax
autotyp_NPStructurePerLanguage_NPHasAdjConstructMarkers,o_autotyp_NPStructurePerLanguage_NPHasAdjConstructMarkers,TLI0468,autotyp: NPStructurePerLanguage: NP Has Adj Construct Markers,TRUE,FALSE,FALSE,D-AUTOTYPMOD-00,,,,,include without modification,none,,,,,,,1 true;2 false;3 ?,,,Morphosyntax
autotyp_NPStructurePerLanguage_NPHasAdjGovernment,o_autotyp_NPStructurePerLanguage_NPHasAdjGovernment,TLI0469,autotyp: NPStructurePerLanguage: NP Has Adj Government,TRUE,FALSE,FALSE,A-IV2;D-AUTOTYPMOD-00,,,,,include without modification,none,,,,,,,1 true;2 false;3 ?,,,Morphosyntax
autotyp_NPStructurePerLanguage_NPHasAdjOvertMarking,o_autotyp_NPStructurePerLanguage_NPHasAdjOvertMarking,TLI0470,autotyp: NPStructurePerLanguage: NP Has Adj Overt Marking,TRUE,FALSE,FALSE,D-AUTOTYPMOD-00,,,,,include without modification,none,,,,,,,1 true;2 false;3 ?,,,Morphosyntax
autotyp_NPStructurePerLanguage_NPHasAgreement,o_autotyp_NPStructurePerLanguage_NPHasAgreement,TLI0471,autotyp: NPStructurePerLanguage: NP Has Agreement,TRUE,FALSE,FALSE,D-AUTOTYPMOD-00,,,,,include without modification,none,,,,,,,1 true;2 false;3 ?,,,Morphosyntax
autotyp_NPStructurePerLanguage_NPHasConstructMarkers,o_autotyp_NPStructurePerLanguage_NPHasConstructMarkers,TLI0472,autotyp: NPStructurePerLanguage: NP Has Construct Markers,TRUE,FALSE,FALSE,D-AUTOTYPMOD-00,,,,,include without modification,none,,,,,,,1 true;2 false;3 ?,,,Morphosyntax
autotyp_NPStructurePerLanguage_NPHasGovernment,o_autotyp_NPStructurePerLanguage_NPHasGovernment,TLI0473,autotyp: NPStructurePerLanguage: NP Has Government,TRUE,FALSE,FALSE,D-AUTOTYPMOD-00,,,,,include without modification,none,,,,,,,1 true;2 false;3 ?,,,Morphosyntax
autotyp_NPStructurePerLanguage_NPHasOvertMarking,o_autotyp_NPStructurePerLanguage_NPHasOvertMarking,TLI0474,autotyp: NPStructurePerLanguage: NP Has Overt Marking,TRUE,FALSE,FALSE,D-AUTOTYPMOD-00,,,,,include without modification,none,,,,,,,1 true;2 false;3 ?,,,Morphosyntax
autotyp_NumeralClassifiers_HasNumeralClassifiers,o_autotyp_NumeralClassifiers_HasNumeralClassifiers,TLI0475,autotyp_NumeralClassifiers: Has Numeral Classifiers,TRUE,FALSE,FALSE,D-DECOMP-41,,,,,include without modification,none,,,,,,,1 true;2 false;3 ?,,,Morphosyntax
autotyp_NumeralClassifiers_NumeralClassifiersCount,o_autotyp_NumeralClassifiers_NumeralClassifiersCount,TLI0476,autotyp_NumeralClassifiers: Numeral Classifiers Count,TRUE,FALSE,FALSE,D-U100LGAC-08,,,,,include without modification,none,,,,,,,1 9;2 8;3 7;4 56;5 50;6 5;7 4;8 37;9 30;10 3;11 29;12 26;13 25;14 20;15 2;16 18;17 15;18 14;19 13;20 12;21 10;22 0;23 ?,,,Morphosyntax
autotyp_PredicateClassesSemanticsPerLanguage_HasPredicateClassWithVerbsOfTypeAbility,o_autotyp_PredicateClassesSemanticsPerLanguage_HasPredicateClassWithVerbsOfTypeAbility,TLI0477,autotyp_PredicateClassesSemanticsPerLanguage: Has Predicate Class With Verbs Of Type Ability,TRUE,FALSE,FALSE,D-POV-062,,,,,include without modification,none,,,,,,,1 true;2 false;3 ?,,,Morphosyntax
autotyp_PredicateClassesSemanticsPerLanguage_HasPredicateClassWithVerbsOfTypeAchieve,o_autotyp_PredicateClassesSemanticsPerLanguage_HasPredicateClassWithVerbsOfTypeAchieve,TLI0478,autotyp_PredicateClassesSemanticsPerLanguage: Has Predicate Class With Verbs Of Type Achieve,TRUE,FALSE,FALSE,A-IV2,,,,,include without modification,none,,,,,,,1 true;2 false;3 ?,,,Morphosyntax
autotyp_PredicateClassesSemanticsPerLanguage_HasPredicateClassWithVerbsOfTypeActivity,o_autotyp_PredicateClassesSemanticsPerLanguage_HasPredicateClassWithVerbsOfTypeActivity,TLI0479,autotyp_PredicateClassesSemanticsPerLanguage: Has Predicate Class With Verbs Of Type Activity,TRUE,FALSE,FALSE,D-POV-062,,,,,include without modification,none,,,,,,,1 true;2 false;3 ?,,,Morphosyntax
autotyp_PredicateClassesSemanticsPerLanguage_HasPredicateClassWithVerbsOfTypeAppearanceDisappearance,o_autotyp_PredicateClassesSemanticsPerLanguage_HasPredicateClassWithVerbsOfTypeAppearanceDisappearance,TLI0480,autotyp_PredicateClassesSemanticsPerLanguage: Has Predicate Class With Verbs Of Type AppearanceDisappearance,TRUE,FALSE,FALSE,D-POV-062,,,,,include without modification,none,,,,,,,1 true;2 false;3 ?,,,Morphosyntax
autotyp_PredicateClassesSemanticsPerLanguage_HasPredicateClassWithVerbsOfTypeAspectual,o_autotyp_PredicateClassesSemanticsPerLanguage_HasPredicateClassWithVerbsOfTypeAspectual,TLI0481,autotyp_PredicateClassesSemanticsPerLanguage: Has Predicate Class With Verbs Of Type Aspectual,TRUE,FALSE,FALSE,D-POV-062,,,,,include without modification,none,,,,,,,1 true;2 false;3 ?,,,Morphosyntax
autotyp_PredicateClassesSemanticsPerLanguage_HasPredicateClassWithVerbsOfTypeAssumingPosition,o_autotyp_PredicateClassesSemanticsPerLanguage_HasPredicateClassWithVerbsOfTypeAssumingPosition,TLI0482,autotyp_PredicateClassesSemanticsPerLanguage: Has Predicate Class With Verbs Of Type AssumingPosition,TRUE,FALSE,FALSE,A-IV1,,,,,include without modification,none,,,,,,,1 true;2 false;3 ?,,,Morphosyntax
autotyp_PredicateClassesSemanticsPerLanguage_HasPredicateClassWithVerbsOfTypeAttempt,o_autotyp_PredicateClassesSemanticsPerLanguage_HasPredicateClassWithVerbsOfTypeAttempt,TLI0483,autotyp_PredicateClassesSemanticsPerLanguage: Has Predicate Class With Verbs Of Type Attempt,TRUE,FALSE,FALSE,A-IV2,,,,,include without modification,none,,,,,,,1 true;2 false;3 ?,,,Morphosyntax
autotyp_PredicateClassesSemanticsPerLanguage_HasPredicateClassWithVerbsOfTypeBodilyEmission,o_autotyp_PredicateClassesSemanticsPerLanguage_HasPredicateClassWithVerbsOfTypeBodilyEmission,TLI0484,autotyp_PredicateClassesSemanticsPerLanguage: Has Predicate Class With Verbs Of Type BodilyEmission,TRUE,FALSE,FALSE,D-POV-062,,,,,include without modification,none,,,,,,,1 true;2 false;3 ?,,,Morphosyntax
autotyp_PredicateClassesSemanticsPerLanguage_HasPredicateClassWithVerbsOfTypeCausedMotion,o_autotyp_PredicateClassesSemanticsPerLanguage_HasPredicateClassWithVerbsOfTypeCausedMotion,TLI0485,autotyp_PredicateClassesSemanticsPerLanguage: Has Predicate Class With Verbs Of Type CausedMotion,TRUE,FALSE,FALSE,A-IV2,,,,,include without modification,none,,,,,,,1 true;2 false;3 ?,,,Morphosyntax
autotyp_PredicateClassesSemanticsPerLanguage_HasPredicateClassWithVerbsOfTypeChangeOfPossession,o_autotyp_PredicateClassesSemanticsPerLanguage_HasPredicateClassWithVerbsOfTypeChangeOfPossession,TLI0486,autotyp_PredicateClassesSemanticsPerLanguage: Has Predicate Class With Verbs Of Type ChangeOfPossession,TRUE,FALSE,FALSE,D-POV-062,,,,,include without modification,none,,,,,,,1 true;2 false;3 ?,,,Morphosyntax
autotyp_PredicateClassesSemanticsPerLanguage_HasPredicateClassWithVerbsOfTypeChangeOfState,o_autotyp_PredicateClassesSemanticsPerLanguage_HasPredicateClassWithVerbsOfTypeChangeOfState,TLI0487,autotyp_PredicateClassesSemanticsPerLanguage: Has Predicate Class With Verbs Of Type ChangeOfState,TRUE,FALSE,FALSE,D-POV-062,,,,,include without modification,none,,,,,,,1 true;2 false;3 ?,,,Morphosyntax
autotyp_PredicateClassesSemanticsPerLanguage_HasPredicateClassWithVerbsOfTypeCognition,o_autotyp_PredicateClassesSemanticsPerLanguage_HasPredicateClassWithVerbsOfTypeCognition,TLI0488,autotyp_PredicateClassesSemanticsPerLanguage: Has Predicate Class With Verbs Of Type Cognition,TRUE,FALSE,FALSE,D-POV-062,,,,,include without modification,none,,,,,,,1 true;2 false;3 ?,,,Morphosyntax
autotyp_PredicateClassesSemanticsPerLanguage_HasPredicateClassWithVerbsOfTypeCombineAttach,o_autotyp_PredicateClassesSemanticsPerLanguage_HasPredicateClassWithVerbsOfTypeCombineAttach,TLI0489,autotyp_PredicateClassesSemanticsPerLanguage: Has Predicate Class With Verbs Of Type CombineAttach,TRUE,FALSE,FALSE,D-POV-062,,,,,include without modification,none,,,,,,,1 true;2 false;3 ?,,,Morphosyntax
autotyp_PredicateClassesSemanticsPerLanguage_HasPredicateClassWithVerbsOfTypeCommunication,o_autotyp_PredicateClassesSemanticsPerLanguage_HasPredicateClassWithVerbsOfTypeCommunication,TLI0490,autotyp_PredicateClassesSemanticsPerLanguage: Has Predicate Class With Verbs Of Type Communication,TRUE,FALSE,FALSE,D-POV-062,,,,,include without modification,none,,,,,,,1 true;2 false;3 ?,,,Morphosyntax
autotyp_PredicateClassesSemanticsPerLanguage_HasPredicateClassWithVerbsOfTypeCreationTransformation,o_autotyp_PredicateClassesSemanticsPerLanguage_HasPredicateClassWithVerbsOfTypeCreationTransformation,TLI0491,autotyp_PredicateClassesSemanticsPerLanguage: Has Predicate Class With Verbs Of Type CreationTransformation,TRUE,FALSE,FALSE,D-POV-062,,,,,include without modification,none,,,,,,,1 true;2 false;3 ?,,,Morphosyntax
autotyp_PredicateClassesSemanticsPerLanguage_HasPredicateClassWithVerbsOfTypeDesideration,o_autotyp_PredicateClassesSemanticsPerLanguage_HasPredicateClassWithVerbsOfTypeDesideration,TLI0492,autotyp_PredicateClassesSemanticsPerLanguage: Has Predicate Class With Verbs Of Type Desideration,TRUE,FALSE,FALSE,D-POV-062,,,,,include without modification,none,,,,,,,1 true;2 false;3 ?,,,Morphosyntax
autotyp_PredicateClassesSemanticsPerLanguage_HasPredicateClassWithVerbsOfTypeDestroy,o_autotyp_PredicateClassesSemanticsPerLanguage_HasPredicateClassWithVerbsOfTypeDestroy,TLI0493,autotyp_PredicateClassesSemanticsPerLanguage: Has Predicate Class With Verbs Of Type Destroy,TRUE,FALSE,FALSE,A-IV1,,,,,include without modification,none,,,,,,,1 true;2 false;3 ?,,,Morphosyntax
autotyp_PredicateClassesSemanticsPerLanguage_HasPredicateClassWithVerbsOfTypeDiseasesAndBodilyStates,o_autotyp_PredicateClassesSemanticsPerLanguage_HasPredicateClassWithVerbsOfTypeDiseasesAndBodilyStates,TLI0494,autotyp_PredicateClassesSemanticsPerLanguage: Has Predicate Class With Verbs Of Type DiseasesAndBodilyStates,TRUE,FALSE,FALSE,D-POV-062,,,,,include without modification,none,,,,,,,1 true;2 false;3 ?,,,Morphosyntax
autotyp_PredicateClassesSemanticsPerLanguage_HasPredicateClassWithVerbsOfTypeEmotion,o_autotyp_PredicateClassesSemanticsPerLanguage_HasPredicateClassWithVerbsOfTypeEmotion,TLI0495,autotyp_PredicateClassesSemanticsPerLanguage: Has Predicate Class With Verbs Of Type Emotion,TRUE,FALSE,FALSE,D-POV-062,,,,,include without modification,none,,,,,,,1 true;2 false;3 ?,,,Morphosyntax
autotyp_PredicateClassesSemanticsPerLanguage_HasPredicateClassWithVerbsOfTypeExistence,o_autotyp_PredicateClassesSemanticsPerLanguage_HasPredicateClassWithVerbsOfTypeExistence,TLI0496,autotyp_PredicateClassesSemanticsPerLanguage: Has Predicate Class With Verbs Of Type Existence,TRUE,FALSE,FALSE,D-POV-062,,,,,include without modification,none,,,,,,,1 true;2 false;3 ?,,,Morphosyntax
autotyp_PredicateClassesSemanticsPerLanguage_HasPredicateClassWithVerbsOfTypeFail,o_autotyp_PredicateClassesSemanticsPerLanguage_HasPredicateClassWithVerbsOfTypeFail,TLI0497,autotyp_PredicateClassesSemanticsPerLanguage: Has Predicate Class With Verbs Of Type Fail,TRUE,FALSE,FALSE,D-POV-062,,,,,include without modification,none,,,,,,,1 true;2 false;3 ?,,,Morphosyntax
autotyp_PredicateClassesSemanticsPerLanguage_HasPredicateClassWithVerbsOfTypeFight,o_autotyp_PredicateClassesSemanticsPerLanguage_HasPredicateClassWithVerbsOfTypeFight,TLI0498,autotyp_PredicateClassesSemanticsPerLanguage: Has Predicate Class With Verbs Of Type Fight,TRUE,FALSE,FALSE,D-POV-062,,,,,include without modification,none,,,,,,,1 true;2 false;3 ?,,,Morphosyntax
autotyp_PredicateClassesSemanticsPerLanguage_HasPredicateClassWithVerbsOfTypeGrooming,o_autotyp_PredicateClassesSemanticsPerLanguage_HasPredicateClassWithVerbsOfTypeGrooming,TLI0499,autotyp_PredicateClassesSemanticsPerLanguage: Has Predicate Class With Verbs Of Type Grooming,TRUE,FALSE,FALSE,D-POV-062,,,,,include without modification,none,,,,,,,1 true;2 false;3 ?,,,Morphosyntax
autotyp_PredicateClassesSemanticsPerLanguage_HasPredicateClassWithVerbsOfTypeHappening,o_autotyp_PredicateClassesSemanticsPerLanguage_HasPredicateClassWithVerbsOfTypeHappening,TLI0500,autotyp_PredicateClassesSemanticsPerLanguage: Has Predicate Class With Verbs Of Type Happening,TRUE,FALSE,FALSE,D-POV-062,,,,,include without modification,none,,,,,,,1 true;2 false;3 ?,,,Morphosyntax
autotyp_PredicateClassesSemanticsPerLanguage_HasPredicateClassWithVerbsOfTypeHelp,o_autotyp_PredicateClassesSemanticsPerLanguage_HasPredicateClassWithVerbsOfTypeHelp,TLI0501,autotyp_PredicateClassesSemanticsPerLanguage: Has Predicate Class With Verbs Of Type Help,TRUE,FALSE,FALSE,D-POV-062,,,,,include without modification,none,,,,,,,1 true;2 false;3 ?,,,Morphosyntax
autotyp_PredicateClassesSemanticsPerLanguage_HasPredicateClassWithVerbsOfTypeHide,o_autotyp_PredicateClassesSemanticsPerLanguage_HasPredicateClassWithVerbsOfTypeHide,TLI0502,autotyp_PredicateClassesSemanticsPerLanguage: Has Predicate Class With Verbs Of Type Hide,TRUE,FALSE,FALSE,D-POV-062,,,,,include without modification,none,,,,,,,1 true;2 false;3 ?,,,Morphosyntax
autotyp_PredicateClassesSemanticsPerLanguage_HasPredicateClassWithVerbsOfTypeHit,o_autotyp_PredicateClassesSemanticsPerLanguage_HasPredicateClassWithVerbsOfTypeHit,TLI0503,autotyp_PredicateClassesSemanticsPerLanguage: Has Predicate Class With Verbs Of Type Hit,TRUE,FALSE,FALSE,D-POV-062,,,,,include without modification,none,,,,,,,1 true;2 false;3 ?,,,Morphosyntax
