"modification.type","modification.ID","design.decision","expectation.tested","motivation.for.test","source","suspected.tendency.confirmed?","requires.statistically.motivated.action","logging.in.known.remaining.dependencies","relative.overlap.vsmall.in.vlarge.sufficient","sufficient.samples.applicable.for.test","passes.bell.test","passes.cohens.d","resulting.modification","relevant.variables","resulting.added.variables","is.added.variable.kept","resulting.removed.variables","variable.1.for.test","variable.2.for.test","test","v1.equals.for.test","v1.unequals.for.test","v2.equals.for.test","v2.unequals.for.test","nr.lgs.v1","nr.lgs.v2","absolute.overlap.v1.v2","relative.overlap.vsmall.in.vlarge","relative.overlap.vlarge.in.vsmall","samples.disregarded.insufficient.lgs.applicable","samples.assessed","mean.d1.across.tested.samples","sd.d1.across.tested.samples","mean.plus.sd.d1.across.tested.samples","mean.d2.across.tested.samples","sd.d2.across.tested.samples","mean.plus.sd.d2.across.tested.samples","mean.baseline.1","mean.baseline.2","d1.baseline1.cohensd","d2.baseline2.cohensd","maximum.sum","minimum.cohensd","minimum.sum","maximum.cohensd"
"statistical","S-CPD-3",NA,"IF verb compounding, THEN morphological TAM","Verb incorporation is typically a feature of highly polysynthetic languages which also mark other grammatical information synthetically. We expect it to be unusual to have verb incorporation (which is a relatively rare, highly synthetic feature) without marking grammatical information like TAM or SAP on the verb (which is relatively common, even with moderately synthetic languages)",NA,"no","no","no","yes","yes","yes","no","NA","GB122, GB770m","NA","NA","NA","GB122","GB770m","THEN","1","0","1","0",1623,2351,1577,0.971657424522489,0.670778392173543,500,500,0.02,0.02,0.04,NA,NA,NA,0.03,NA,0.5,NA,0.04,0.5,0.04,0.5
"statistical","S-CPD-4",NA,"IF noun incorporation, THEN morphological TAM","Noun incorporation is typically a feature of highly polysynthetic languages which also mark other grammatical information synthetically. We expect it to be unusual to have noun incorporation (which is a relatively rare, highly synthetic feature) without marking grammatical information like TAM or SAP on the verb (which is relatively common, even with moderately synthetic languages).",NA,"no","no","no","yes","yes","yes","no","NA","GB124, GB770m","NA","NA","NA","GB124","GB770m","THEN","1","0","1","0",1660,2351,1620,0.975903614457831,0.689068481497235,500,500,0.01,0.02,0.03,NA,NA,NA,0.03,NA,1,NA,0.03,1,0.03,1
"statistical","S-CPE-1",NA,"complementizer of think/know either preposed XOR postposed","Single strategy may be expected",NA,"yes, but only for one of the XOR dimensions, tendency logged in known.remaining.dependencies","no","yes","yes","yes","no","no","tendency logged in known.remaining.dependencies","GB421c, GB422c","NA","NA","NA","GB421c","GB422c","XOR","1","0","1","0",569,566,558,0.985865724381625,0.98066783831283,500,500,0.09,0.07,0.16,0.16,0.15,0.31,0.6,0.3,3.3,0.6,0.31,0.6,0.16,3.3
"statistical","S-CST-1",NA,"IF causatives formed by affixes or clitics, THEN verbal affixes or clitics that turn intransitive verbs into transitive ones","Causatives are valence operations that add an argument. If they are present as affixes, we expect affixes to be able to turn intransitive verbs into transitive ones.",NA,"yes, modification","yes","yes","yes","yes","yes","yes","statistically motivated conditioning (conservative)","GB155, GB113","GB155C","yes","GB155","GB155","GB113","THEN","1","0","1","0",2051,1871,1750,0.935328701229289,0.853242320819113,500,500,0.1,0.03,0.13,NA,NA,NA,0.34,NA,6.7,NA,0.13,6.7,0.13,6.7
"statistical","S-DEM-1",NA,"IF elevation, THEN three or more distances in demonstratives","Elevation distinctions in demonstratives are rare, such that elaborate demonstrative systems are expected generally if elevation distctions are present",NA,"no","no","no","yes","yes","no","no","NA","GB036, GB035","NA","NA","NA","GB036","GB035","THEN","1","0","1","0",2179,2186,2105,0.966039467645709,0.962946020128088,501,499,0.35,0.2,0.55,NA,NA,NA,0.52,NA,0.9,NA,0.55,0.9,0.55,0.9
"statistical","S-DEM-2",NA,"IF visible-invisible, THEN three or more distances in demonstratives","Visibility distinctions in demonstratives are relatively rare, such that elaborate demonstrative systems are expected generally if visibility distctions are present",NA,"yes, tendency logged in known.remaining.dependencies","no","yes","yes","yes","no","yes","tendency logged in known.remaining.dependencies","GB037, GB035","NA","NA","NA","GB037","GB035","THEN","1","0","1","0",2133,2186,2066,0.968588842006563,0.945105215004575,500,500,0.25,0.12,0.36,NA,NA,NA,0.52,NA,2.4,NA,0.36,2.4,0.36,2.4
"statistical","S-DIA-1",NA,"IF augmentative marking, THEN diminutive marking also","Diminutives are more common than augmentatives.",NA,"yes, tendency logged in known.remaining.dependencies","no","yes","yes","yes","no","yes","tendency logged in known.remaining.dependencies","GB702drm, GB701drm","NA","NA","NA","GB702drm","GB701drm","THEN","1","0","1","0",1302,1425,1230,0.944700460829493,0.863157894736842,500,500,0.17,0.08,0.25,NA,NA,NA,0.46,NA,3.8,NA,0.25,3.8,0.25,3.8
"statistical","S-DIA-2",NA,"either diminutive/augmentative by nominal classification XOR diminutive/augmentative affix","Single strategy may be expected",NA,"yes, but only for one of the XOR dimensions, tendency logged in known.remaining.dependencies","no","yes","yes","yes","no","no","tendency logged in known.remaining.dependencies","GB703drmc, GB704drm","NA","NA","NA","GB703drmc","GB704drm","XOR","1","0","1","0",607,1431,478,0.787479406919275,0.3340321453529,646,354,0.41,0.3,0.71,0.09,0.07,0.16,0.44,0.9,0.1,7.9,0.71,0.1,0.16,7.9
"statistical","S-GEN-1-C",NA,"IF gender in nouns (conditioned on number), THEN gender in pronouns",NA,NA,"yes, tendency logged in known.remaining.dependencies","no","yes","yes","yes","no","yes","tendency logged in known.remaining.dependencies","GB551mC, GB030","NA","NA","NA","GB551mC","GB030","THEN","1","0","1","0",2054,2370,1996,0.971762414800389,0.842194092827004,500,500,0.4,0.06,0.46,NA,NA,NA,0.71,NA,7.6,NA,0.46,7.6,0.46,7.6
"statistical","S-GEN-1-O",NA,"IF gender in nouns, THEN gender in pronouns","cf Greenberg 1963 U43","greenberg1963some","this test involves a variable that is modified due to statistical conditioning; the corresponding test with the conditioned variable is performed also","no","yes","yes","yes","no","yes","NA","GB551m, GB030","NA","NA","NA","GB551m","GB030","THEN","1","0","1","0",2054,2370,1996,0.971762414800389,0.842194092827004,500,500,0.4,0.06,0.46,NA,NA,NA,0.71,NA,7.6,NA,0.46,7.6,0.46,7.6
"statistical","S-LOM-1-C",NA,"marking on possessor (conditioned on case) XOR marking on possessed (conditioned on SAP)",NA,NA,"no","no","no","yes","yes","no","no","NA","GB590mC, GB591mC","NA","NA","NA","GB590mC","GB591mC","XOR","1","0","1","0",1152,1130,800,0.707964601769911,0.694444444444444,500,500,0.39,0.07,0.46,0.41,0.08,0.49,0.41,0.44,0.2,0.3,0.49,0.2,0.46,0.3
"statistical","S-LOM-1-O",NA,"marking on possessor XOR marking on possessed","Single strategy may be expected",NA,"this test involves a variable that is modified due to statistical conditioning; the corresponding test with the conditioned variable is performed also","no","yes","yes","yes","no","no","NA","GB590m, GB591m","NA","NA","NA","GB590m","GB591m","XOR","1","0","1","0",1850,1873,1828,0.988108108108108,0.975974372664175,500,500,0.37,0.06,0.43,0.32,0.06,0.38,0.47,0.54,1.1,2.3,0.43,1.1,0.38,2.3
"statistical","S-LOM-2-C",NA,"IF marking on possessed THEN SAP-indexing on verb (if morphological TAM present)",NA,NA,"yes, modification","yes","yes","yes","yes","yes","yes","statistically motivated conditioning (conservative)","GB591m, GB625mC","GB591mC","yes","GB591m","GB591m","GB625mC","THEN","1","0","1","0",1873,1889,1449,0.773625200213561,0.76707252514558,500,500,0.05,0.03,0.08,NA,NA,NA,0.13,NA,2.6,NA,0.08,2.6,0.08,2.6
"statistical","S-LOM-2-O",NA,"IF marking on possessed THEN SAP-indexing on verb","We can expect that there is a tendency for head-marking across verbs and nouns",NA,"this test involves a variable that is modified due to statistical conditioning; the corresponding test with the conditioned variable is performed also","yes","yes","yes","yes","yes","yes","NA","GB591m, GB625m","NA","NA","NA","GB591m","GB625m","THEN","1","0","1","0",1873,2350,1804,0.963160704751735,0.767659574468085,500,500,0.07,0.03,0.1,NA,NA,NA,0.16,NA,2.8,NA,0.1,2.8,0.1,2.8
"statistical","S-NEG-1a",NA,"verb modification (conditioned on morphological TAM) XOR auxiliary verb for standard negation","Single strategy may be expected",NA,"yes, tendency logged in known.remaining.dependencies","no","yes","yes","yes","no","yes","tendency logged in known.remaining.dependencies","GB107C, GB298","NA","NA","NA","GB107C","GB298","XOR","1","0","1","0",1856,2038,1610,0.867456896551724,0.789990186457311,500,500,0.13,0.04,0.17,0.68,0.15,0.83,0.89,0.4,11.5,1.7,0.83,1.7,0.17,11.5
"statistical","S-NEG-1b",NA,"verb modification for negation XOR auxiliary particle for negation","Single strategy may be expected",NA,"no","no","no","yes","yes","no","no","NA","GB107C, GB299","NA","NA","NA","GB107C","GB299","XOR","1","0","1","0",1856,2061,1621,0.873383620689655,0.786511402231926,500,500,0.37,0.06,0.43,0.4,0.06,0.46,0.39,0.4,0.1,0,0.46,0,0.43,0.1
"statistical","S-NEG-1c",NA,"auxiliary verb XOR auxiliary particle","Single strategy may be expected",NA,"yes, tendency logged in known.remaining.dependencies","no","yes","yes","yes","no","yes","tendency logged in known.remaining.dependencies","GB298, GB299","NA","NA","NA","GB298","GB299","XOR","1","0","1","0",2038,2061,2012,0.987242394504416,0.976225133430374,500,500,0.18,0.12,0.3,0.03,0.02,0.05,0.39,0.89,1.5,20.1,0.3,1.5,0.05,20.1
"statistical","S-NEG-2",NA,"negation clause-final XOR clause-initial","Single strategy may be expected",NA,"yes, tendency logged in known.remaining.dependencies","no","yes","yes","yes","no","yes","tendency logged in known.remaining.dependencies","GB137, GB138","NA","NA","NA","GB137","GB138","XOR","1","0","1","0",2222,2211,2163,0.978290366350068,0.973447344734473,500,500,0.26,0.05,0.31,0.26,0.05,0.31,0.55,0.54,3.8,3.7,0.31,3.7,0.31,3.8
"statistical","S-NEG-3",NA,"IF same negator to all, THEN copula for nominal predication","If a verbal negator can be used with all other predicative types (locational, existential, nominal), then we expect a verbal copula. However, in GB117 non-verbal copulas are also included. Also for a TRUE to GB140 all negators need to be identical. These coding choices may weaken the proposed correlation",NA,"no","no","no","yes","yes","no","no","NA","GB140, GB117","NA","NA","NA","GB140","GB117","THEN","1","0","1","0",1590,2029,1450,0.911949685534591,0.714637752587482,500,500,0.48,0.06,0.54,NA,NA,NA,0.46,NA,0.4,NA,0.54,0.4,0.54,0.4
"statistical","S-NEG-TAM-1",NA,"IF there is a difference between imperative and declarative negation constructions, THEN there is mood","Negation is closely related to irrealis mood. If there is a distinction between types of negation with differing sentential force, there is probably mood distinction in the language",NA,"no","no","no","yes","yes","yes","no","NA","GB139, GB558drm","NA","NA","NA","GB139","GB558drm","THEN","1","0","1","0",2039,1963,1677,0.854304635761589,0.822461991172143,500,500,0.05,0.03,0.08,NA,NA,NA,0.04,NA,0.7,NA,0.08,0.7,0.08,0.7
"statistical","S-NEG-TAM-2",NA,"IF standard negation can be marked by an affix, clitic or modification of the verb, THEN there is morphological TAM","Negation is close to mood marking and unlikely to be the only marking on the verb without other morphological TAM-components.",NA,"yes, modification","yes","yes","yes","yes","yes","yes","statistically motivated conditioning (conservative)","GB107, GB777drm","GB107C","yes","GB107","GB107","GB777drm","THEN","1","0","1","0",2301,2232,2135,0.956541218637993,0.927857453281182,500,500,0.01,0.01,0.02,NA,NA,NA,0.06,NA,2.9,NA,0.02,2.9,0.02,2.9
"statistical","S-NUM-02",NA,"IF singular marked in NPs, THEN plural in NPs",NA,"cysouw2003paradigmatic;wals35","yes, modification","yes","yes","yes","yes","yes","yes","statistically motivated conditioning (conservative)","GB951drmc, GB955drmc","GB951drmcC","yes","GB951drmc","GB951drmc","GB955drmc","THEN","1","0","1","0",1697,1816,1676,0.987625220978197,0.922907488986784,500,500,0.03,0.04,0.07,NA,NA,NA,0.18,NA,3.4,NA,0.07,3.4,0.07,3.4
"statistical","S-NUM-03",NA,"IF dual in NPs, THEN plural in NPs","Greenberg 1963 U34","cysouw2003paradigmatic;greenberg1963some;wals35","yes, modification","yes","yes","yes","yes","yes","yes","statistically motivated conditioning (conservative)","GB952drmc, GB955drmc","GB952drmcC","yes","GB952drmc","GB952drmc","GB955drmc","THEN","1","0","1","0",1646,1816,1618,0.982989064398542,0.890969162995595,500,500,0.08,0.05,0.14,NA,NA,NA,0.18,NA,1.9,NA,0.14,1.9,0.14,1.9
"statistical","S-NUM-04-C",NA,"IF dual marking in NPs (conditioned on plural in NPs at all), THEN dual marking in pronouns","WALS chapter 35","wals35","yes, tendency logged in known.remaining.dependencies","no","yes","yes","yes","no","yes","tendency logged in known.remaining.dependencies","GB952drmcC, GB031","NA","NA","NA","GB952drmcC","GB031","THEN","1","0","1","0",1374,2334,1356,0.986899563318777,0.580976863753213,500,500,0.28,0.09,0.37,NA,NA,NA,0.7,NA,4.8,NA,0.37,4.8,0.37,4.8
"statistical","S-NUM-05",NA,"IF trial in NPs, THEN dual in NPs","Greenberg 1963 U34","cysouw2003paradigmatic;greenberg1963some;wals35","yes, modification","yes","yes","yes","yes","yes","yes","statistically motivated conditioning (conservative)","GB953drmc, GB952drmc","GB953drmcC","yes","GB953drmc","GB953drmc","GB952drmc","THEN","1","0","1","0",1623,1646,1599,0.985212569316081,0.971445929526124,903,97,0,0,0,NA,NA,NA,0.79,NA,21.8,NA,0,21.8,0,21.8
"statistical","S-NUM-06-C",NA,"IF paucal in NPs (conditioned on trials not being present), THEN plural in NPs",NA,NA,"no","no","no","yes","yes","no","no","NA","GB954drmcC, GB955drmc","NA","NA","NA","GB954drmcC","GB955drmc","THEN","1","0","1","0",1596,1816,1574,0.986215538847118,0.866740088105727,523,477,0.27,0.27,0.54,NA,NA,NA,0.18,NA,0.3,NA,0.54,0.3,0.54,0.3
"statistical","S-NUM-06-O",NA,"IF paucal in NPs, THEN plural in NPs",NA,"cysouw2003paradigmatic;wals35","this test involves a variable that is modified due to statistical conditioning; the corresponding test with the conditioned variable is performed also","no","no","yes","yes","no","no","NA","GB954drmc, GB955drmc","NA","NA","NA","GB954drmc","GB955drmc","THEN","1","0","1","0",1607,1816,1584,0.985687616677038,0.872246696035242,523,477,0.27,0.27,0.54,NA,NA,NA,0.18,NA,0.3,NA,0.54,0.3,0.54,0.3
"statistical","S-NUM-07-C",NA,"phonologically free number in NPs (conditioned on plural marking in NPs) XOR morphological number in NPs (conditioned on plural marking in NPs)",NA,NA,"yes, tendency logged in known.remaining.dependencies","no","yes","yes","yes","no","yes","tendency logged in known.remaining.dependencies","GB990drmcC, GB991drmcC","NA","NA","NA","GB990drmcC","GB991drmcC","XOR","1","0","1","0",1358,1553,1341,0.987481590574374,0.86349001931745,500,500,0.56,0.12,0.68,0.14,0.04,0.17,0.08,0.78,3.4,8.3,0.68,3.4,0.17,8.3
"statistical","S-NUM-07-O",NA,"phonologically free number in NPs XOR morphological number in NPs","different states in WALS chapter 33","wals33","this test involves a variable that is modified due to statistical conditioning; the corresponding test with the conditioned variable is performed also.","no","yes","yes","yes","no","yes","NA","GB990drmc, GB991drmc","NA","NA","NA","GB990drmc","GB991drmc","XOR","1","0","1","0",1617,1816,1583,0.978973407544836,0.871696035242291,500,500,0.54,0.12,0.66,0.13,0.04,0.17,0.22,0.82,2.3,10.1,0.66,2.3,0.17,10.1
"statistical","S-NUM-08",NA,"IF phonologically free number marking of NPs at all, THEN plural in NPs",NA,"cysouw2003paradigmatic;wals35","yes, modification","yes","yes","yes","yes","yes","yes","statistically motivated conditioning (conservative)","GB990drmc, GB955drmc","GB990drmcC","yes","GB990drmc","GB990drmc","GB955drmc","THEN","1","0","1","0",1617,1816,1601,0.990105132962276,0.881607929515419,500,500,0.06,0.06,0.11,NA,NA,NA,0.18,NA,2.2,NA,0.11,2.2,0.11,2.2
"statistical","S-NUM-09",NA,"IF morphological number marking of nouns at all, THEN plural in NPs",NA,"cysouw2003paradigmatic;wals35","yes, modification","yes","yes","yes","yes","yes","yes","statistically motivated conditioning (conservative)","GB991drmc, GB955drmc","GB991drmcC","yes","GB991drmc","GB991drmc","GB955drmc","THEN","1","0","1","0",1816,1816,1796,0.988986784140969,0.988986784140969,500,500,0.03,0.02,0.04,NA,NA,NA,0.18,NA,5,NA,0.04,5,0.04,5
"statistical","S-NUM-10",NA,"IF associative plural, THEN number in NPs",NA,"moravcsik2003semantic;wals36","yes, modification","yes","yes","yes","yes","yes","yes","statistically motivated conditioning (conservative)","GB046, GB945m","GB046C","yes","GB046","GB046","GB945m","THEN","1","0","1","0",1479,2139,1360,0.919540229885057,0.635811126694717,500,500,0.03,0.04,0.07,NA,NA,NA,0.11,NA,2,NA,0.07,2,0.07,2
"statistical","S-NUM-GEN-1-C",NA,"IF non-phonological allomorphy of number markers, THEN gender/noun classes","If there are different number markers for nouns, it is probably because there is gender distinction between nouns",NA,"yes, tendency logged in known.remaining.dependencies","no","yes","yes","yes","no","yes","tendency logged in known.remaining.dependencies","GB039c, GB551mC","NA","NA","NA","GB039c","GB551mC","THEN","1","0","1","0",1689,2054,1525,0.902901124925992,0.742453748782863,500,500,0.26,0.09,0.34,NA,NA,NA,0.49,NA,3,NA,0.34,3,0.34,3
"statistical","S-NUM-GEN-1-O",NA,"IF non-phonological allomorphy of number markers, THEN gender/noun classes","If there are different number markers for nouns, it is probably because there is gender distinction between nouns",NA,"this test involves a variable that is modified due to statistical conditioning; the corresponding test with the conditioned variable is performed also","no","yes","yes","yes","no","yes","NA","GB039c, GB551m","NA","NA","NA","GB039c","GB551m","THEN","1","0","1","0",1689,2054,1525,0.902901124925992,0.742453748782863,500,500,0.26,0.09,0.34,NA,NA,NA,0.49,NA,3,NA,0.34,3,0.34,3
"statistical","S-NUM-GEN-2",NA,"IF gender, THEN number","cf Greenberg 1963, U36","greenberg1963some","yes, modification","yes","yes","yes","yes","yes","yes","statistically motivated conditioning (conservative)","GB551m, GB945m","GB551mC","yes","GB551m","GB551m","GB945m","THEN","1","0","1","0",2054,2139,1912,0.930866601752678,0.893875642823749,500,500,0.06,0.03,0.09,NA,NA,NA,0.11,NA,1.9,NA,0.09,1.9,0.09,1.9
"statistical","S-NUS-1",NA,"decimal XOR body-part-tallying","The use of body parts to count numbers is not expected to coincide with counting on fingers (the origin of base 10); multiple systems are more likely associated with context, not captured in grammars",NA,"yes, modification","yes","yes","yes","yes","yes","yes","merging, exclusion of both (neither vs. variable1 vs. variable2)","GB333, GB336","GB332nom","yes","GB333, GB336","GB333","GB336","XOR","1","0","1","0",1743,1694,1569,0.926210153482881,0.900172117039587,502,498,0.01,0.01,0.02,0.04,0.09,0.13,0.94,0.48,36.2,4.2,0.13,4.2,0.02,36.2
"statistical","S-NUS-2-C",NA,"IF elements of quinary numeral system THEN decimal","Pure quinary systems are rare, usually vigesimal elements exist within an otherwise decimal system",NA,"no","no","no","yes","yes","no","no","NA","GB334, GB332nom","NA","NA","NA","GB334","GB332nom","THEN","1","0","decimal system","neither, body-part tallying system",1780,1666,1605,0.963385354141657,0.901685393258427,500,500,0.48,0.1,0.59,NA,NA,NA,0.46,NA,0.3,NA,0.59,0.3,0.59,0.3
"statistical","S-NUS-3-C",NA,"IF elements of vigesimal numeral system THEN decimal","Pure vigesimal systems are rare, usually vigesimal elements exist within an otherwise decimal system",NA,"yes, tendency logged in known.remaining.dependencies","no","yes","yes","yes","no","yes","tendency logged in known.remaining.dependencies","GB335, GB332nom","NA","NA","NA","GB335","GB332nom","THEN","1","0","decimal system","neither, body-part tallying system",1671,1666,1596,0.957983193277311,0.955116696588869,500,500,0.69,0.12,0.81,NA,NA,NA,0.46,NA,2,NA,0.81,2,0.81,2
"statistical","S-PAS-1",NA,"morphological XOR phonologically free passive","Single strategy may be expected",NA,"yes, but only for one of the XOR dimensions, tendency logged in known.remaining.dependencies","no","yes","yes","yes","no","no","tendency logged in known.remaining.dependencies","GB147c, GB302c","NA","NA","NA","GB147c","GB302c","XOR","1","0","1","0",1025,914,904,0.989059080962801,0.881951219512195,501,499,0.03,0.03,0.06,0.18,0.17,0.36,0.87,0.14,13.3,0.2,0.36,0.2,0.06,13.3
"statistical","S-POL-01a",NA,"particle initial XOR particle in the middle","different states in WALS chapter 92, but combined state also exists (although it is unidentifiable because it is part of a mixed state)","wals92","yes, tendency logged in known.remaining.dependencies","no","yes","yes","yes","no","yes","tendency logged in known.remaining.dependencies","GB262c, GB264c","NA","NA","NA","GB262c","GB264c","XOR","1","0","1","0",998,988,976,0.987854251012146,0.977955911823647,500,500,0.12,0.09,0.21,0.14,0.1,0.24,0.75,0.72,5,4.5,0.24,4.5,0.21,5
"statistical","S-POL-01b",NA,"particle final XOR particle initial","different states in WALS chapter 92, but combined state also exists (although it is unidentifiable because it is part of a mixed state)","wals92","yes, but only for one of the XOR dimensions, tendency logged in known.remaining.dependencies","no","yes","yes","yes","no","no","tendency logged in known.remaining.dependencies","GB263c, GB262c","NA","NA","NA","GB263c","GB262c","XOR","1","0","1","0",1010,998,985,0.986973947895792,0.975247524752475,500,500,0.1,0.05,0.15,0.26,0.12,0.37,0.72,0.34,6.5,0.6,0.37,0.6,0.15,6.5
"statistical","S-POL-01c",NA,"particle final XOR particle in the middle","different states in WALS chapter 92, but combined state also exists (although it is unidentifiable because it is part of a mixed state)","wals92","yes, but only for one of the XOR dimensions, tendency logged in known.remaining.dependencies","no","yes","yes","yes","no","no","tendency logged in known.remaining.dependencies","GB263c, GB264c","NA","NA","NA","GB263c","GB264c","XOR","1","0","1","0",1010,988,981,0.992914979757085,0.971287128712871,500,500,0.12,0.05,0.17,0.32,0.13,0.44,0.75,0.34,6.4,0.2,0.44,0.2,0.17,6.4
"statistical","S-POL-02",NA,"verb morphology and particle XOR verb morphology only","different states in WALS chapter 116","wals116","yes, tendency logged in known.remaining.dependencies","no","yes","yes","yes","no","yes","tendency logged in known.remaining.dependencies","GB285cc, GB286c","NA","NA","NA","GB285cc","GB286c","XOR","1","0","1","0",100,330,97,0.97,0.293939393939394,892,108,0.63,0.36,0.99,0.19,0.12,0.31,0.04,0.71,1.5,2.4,0.99,1.5,0.31,2.4
"statistical","S-POL-03",NA,"verbal mophology XOR particle","different states in WALS chapter 116, but combination state also exists","wals116","yes, but only for one of the XOR dimensions, tendency logged in known.remaining.dependencies","no","yes","yes","yes","no","no","tendency logged in known.remaining.dependencies","GB949m, GB950m","NA","NA","NA","GB949m","GB950m","XOR","1","0","1","0",1638,1724,1582,0.965811965811966,0.917633410672854,500,500,0.37,0.09,0.46,0.22,0.06,0.28,0.43,0.66,0.5,5,0.46,0.5,0.28,5
"statistical","S-POL-04",NA,"V-not-V XOR special word order","V-not-V is not categorized as a special word order according to Grambank documentation. It is very unlikely that both strategies are used by the same language.",NA,"no","no","yes","yes","yes","no","yes","tendency logged in known.remaining.dependencies","GB297, GB260","NA","NA","NA","GB297","GB260","XOR","1","0","1","0",1628,1758,1569,0.963759213759214,0.892491467576792,644,356,0.19,0.27,0.46,0.25,0.35,0.6,0.97,0.97,2.8,2,0.6,2,0.46,2.8
"statistical","S-POL-05",NA,"tone for polar interrogation XOR segmental verbal morphology for polar interrogation","Tonal changes can be viewed as morphology, so here we contrast it with segmental morphology","wals116","yes, but only for one of the XOR dimensions, tendency logged in known.remaining.dependencies","no","yes","yes","yes","yes","no","tendency logged in known.remaining.dependencies","GB291c, GB947mc","NA","NA","NA","GB291c","GB947mc","XOR","1","0","1","0",391,403,383,0.979539641943734,0.950372208436725,633,367,0,0.05,0.05,0,0,0,0.06,0.92,1,27,0.05,1,0,27
"statistical","S-POL-06",NA,"V-not-V XOR particle","V-not-V is not categorized as a special word order according to Grambank documentation, but it could be seen as a type of special word order and stand in opposition to the other means of expressing polar interrogaton that are expressed as different states in WALS chapter 116",NA,"yes, but only for one of the XOR dimensions, tendency logged in known.remaining.dependencies","no","yes","yes","yes","no","no","tendency logged in known.remaining.dependencies","GB297, GB950m","NA","NA","NA","GB297","GB950m","XOR","1","0","1","0",1628,1724,1564,0.960687960687961,0.907192575406032,554,446,0.69,0.32,1.01,0.04,0.02,0.06,0.43,0.97,0.8,28.5,1.01,0.8,0.06,28.5
"statistical","S-POL-07",NA,"V-not-V XOR verbal morphology","V-not-V is not categorized as a special word order according to Grambank documentation, but it could be seen as a type of special word order and stand in opposition to the other means of expressing polar interrogaton that are expressed as different states in WALS chapter 116",NA,"no","no","yes","yes","yes","no","yes","tendency logged in known.remaining.dependencies","GB297, GB949m","NA","NA","NA","GB297","GB949m","XOR","1","0","1","0",1628,1638,1532,0.941031941031941,0.935286935286935,554,446,0.11,0.22,0.32,0.01,0.02,0.03,0.66,0.97,2.4,32.3,0.32,2.4,0.03,32.3
"statistical","S-POL-08",NA,"V-not-V XOR intonation only","V-not-V is not categorized as a special word order according to Grambank documentation, but it could be seen as a type of special word order and stand in opposition to the other means of expressing polar interrogaton that are expressed as different states in WALS chapter 116",NA,"yes, but only for one of the XOR dimensions, tendency logged in known.remaining.dependencies","no","yes","yes","yes","no","no","tendency logged in known.remaining.dependencies","GB297, GB257","NA","NA","NA","GB297","GB257","XOR","1","0","1","0",1628,1635,1443,0.886363636363636,0.88256880733945,581,419,0.34,0.39,0.73,0.02,0.03,0.05,0.56,0.97,0.6,27.3,0.73,0.6,0.05,27.3
"statistical","S-POL-09",NA,"particle XOR intonation only","different states in WALS chapter 116","wals116","yes, but only for one of the XOR dimensions, tendency logged in known.remaining.dependencies","no","yes","yes","yes","no","no","tendency logged in known.remaining.dependencies","GB950m, GB257","NA","NA","NA","GB950m","GB257","XOR","1","0","1","0",1724,1635,1512,0.924770642201835,0.877030162412993,500,500,0.35,0.06,0.41,0.45,0.08,0.53,0.56,0.43,2.2,0.2,0.53,0.2,0.41,2.2
"statistical","S-POL-10",NA,"verbal morphology XOR intonation only","different states in WALS chapter 116","wals116","yes, tendency logged in known.remaining.dependencies","no","yes","yes","yes","no","yes","tendency logged in known.remaining.dependencies","GB949m, GB257","NA","NA","NA","GB949m","GB257","XOR","1","0","1","0",1638,1635,1466,0.896636085626911,0.894993894993895,500,500,0.2,0.07,0.28,0.15,0.06,0.21,0.56,0.66,3.5,6,0.28,3.5,0.21,6
"statistical","S-POL-11",NA,"special word order XOR particle","different states in WALS chapter 116","wals116","yes, but only for one of the XOR dimensions, tendency logged in known.remaining.dependencies","no","yes","yes","yes","no","no","tendency logged in known.remaining.dependencies","GB260, GB950m","NA","NA","NA","GB260","GB950m","XOR","1","0","1","0",1758,1724,1642,0.952436194895592,0.934015927189989,588,412,0.6,0.38,0.98,0.02,0.02,0.04,0.43,0.97,0.4,35.4,0.98,0.4,0.04,35.4
"statistical","S-POL-12",NA,"special word order XOR intonation only","different states in WALS chapter 116","wals116","yes, but only for one of the XOR dimensions, tendency logged in known.remaining.dependencies","no","yes","yes","yes","no","no","tendency logged in known.remaining.dependencies","GB260, GB257","NA","NA","NA","GB260","GB257","XOR","1","0","1","0",1758,1635,1585,0.969418960244648,0.901592718998862,625,375,0.66,0.4,1.05,0.03,0.02,0.06,0.56,0.97,0.2,29.7,1.05,0.2,0.06,29.7
"statistical","S-POL-13",NA,"special word order XOR verbal morphology","different states in WALS chapter 116","wals116","no","no","yes","yes","yes","no","yes","tendency logged in known.remaining.dependencies","GB260, GB949m","NA","NA","NA","GB260","GB949m","XOR","1","0","1","0",1758,1638,1575,0.961538461538462,0.895904436860068,606,394,0.05,0.16,0.21,0,0.01,0.02,0.66,0.97,3.7,51.5,0.21,3.7,0.02,51.5
"statistical","S-POL-WOO-1",NA,"IF polar interrogative particle, THEN pragmatically unmarked constituent order NOT verb-initial for transitive clauses","cf Greenberg 1963, U10","greenberg1963some","no","no","no","yes","yes","no","no","NA","GB950m, GB131","NA","NA","NA","GB950m","GB131","THEN","1","0","0","1",1724,2348,1682,0.975638051044084,0.716354344122658,500,500,0.23,0.05,0.28,NA,NA,NA,0.2,NA,0.6,NA,0.28,0.6,0.28,0.6
