"","glottocode","TLI0549","TLI0552","TLI0559","TLI0560","TLI0570","TLI0578","TLI0580","TLI0582","TLI0589","TLI0592","TLI0596","TLI0597","TLI0598","TLI0604","TLI0860","TLI0891","TLI0892","TLI0893","TLI0958","TLI0959","TLI1044","TLI1083","TLI1099","TLI1100","TLI1101","TLI1102","TLI1112"
"820","djap1238","?","False","False","?","?","False","False","?","False","?","?","?","?","?","?","False","False",NA,"?","?","?","?","FALSE","FALSE","?","FALSE","?"
"825","djin1251","False","False","?","?","False","False","?","False","False","False","?","?","?","?","?","?","?",NA,"?","?","?","?","FALSE","TRUE","?","?","Neither"
"827","djin1253","?","False","False","?","False","False","True","?","False","?","?","?","?","?","?","False","False",NA,"?","?","?","?","?","?","?","FALSE","?"
"828","djiw1241","?","False","False","?","False","False","False","?","False","?","?","?","?","?","?","False","False",NA,"?","?","?","?","?","?","?","FALSE","?"
"840","dong1286","True","False","False","False","True","False","False","?","False","?","False","?","False","?","?","False","False","?","?","?","?","?","FALSE","FALSE","FALSE","FALSE","?"
"841","dong1287","?","?","?","False","True","False","False","?","False","?","False","True","?","True","?","True","True","?","?","?","?","?","?","FALSE","TRUE","FALSE","?"
"849","drun1238","?","False","?","False","False","?","False","True","False","False","False","False","?","False","?","?","?","?","?","?","?","?","FALSE","FALSE","FALSE","FALSE","Neither"
"856","duna1248","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","False","?","?","?","?","?","?","?","?","?","?"
"861","dutc1256","False","False","False","?","?","?","False","False","?","False","?","?","False","?","?","?","?","False","TRUE","FALSE","first, two-th, three-th","affective meanings","FALSE","FALSE","?","?","Neither"
"865","dyaa1242","?","False","False","?","False","False","False","?","False","?","?","?","?","?","?","False","False",NA,"?","?","?","?","FALSE","TRUE","?","FALSE","?"
"873","dzao1238","?","?","?","False","True","False","False","?","False","?","False","False","?","True","?","True","False","?","?","?","?","?","?","FALSE","TRUE","FALSE","?"
"876","east1472","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","FALSE","TRUE","?","?","?"
"881","east2326","?","False","False","?","True","False","False","?","?","?","False","?","?","?","?","True","True","?","?","?","?","?","?","FALSE","FALSE","FALSE","Neither"
"882","east2328","False","False","False","False","False","False","True","False","False","False","False","?","False","False","?","False","False","False","?","?","?","?","TRUE","FALSE","FALSE","FALSE","Neither"
"888","east2363","?","?","False","?","True","False","False","?","?","?","False","?","?","?","?","?","?","?","?","?","?","?","?","FALSE","FALSE","FALSE","?"
"889","east2370","?","?","?","False","True","False","False","?","False","?","False","True","?","True","?","True","False","?","?","?","?","?","?","FALSE","TRUE","FALSE","?"
"890","east2371","?","?","?","False","True","False","False","?","False","?","False","True","?","True","?","False","False","?","?","?","?","?","?","FALSE","FALSE","FALSE","?"
"894","east2426","False","False","False","?","?","?","False","?","?","?","False","True","False","?","?","True","False","?","?","?","?","logical meanings","FALSE","FALSE","?","?","?"
"900","east2545","?","?","?","?","?","?","?","?","?","?","?","?","?","?","decimal","?","?","?","?","?","?","?","FALSE","FALSE","?","?","?"
"901","east2555","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","False","False","TRUE","?","first, second, three-th","?","FALSE","FALSE","?","?","?"
"917","ekaa1234","False","False","False","False","True","False","False","True","False","False","False","?","False","?","?","False","True","?","?","?","?","?","FALSE","FALSE","FALSE","FALSE","Neither"
"929","embe1260","?","False","False","?","False","False","False","False","False","False","?","?","False","?","?","False","?","?","?","?","?","?","FALSE","FALSE","?","FALSE","TreeInBark"
"930","embe1261","?","False","False","?","False","False","False","False","False","False","?","?","False","?","?","False","?","?","?","?","?","?","FALSE","FALSE","?","?","TreeInBark"
"931","embe1262","?","True","False","?","False","False","False","False","False","False","?","?","False","?","?","False","?","?","?","?","?","?","FALSE","FALSE","?","FALSE","TreeInBark"
"934","enap1235","True","False","?","?","True","False","?","False","False","False","False","?","False","?","?","?","?",NA,"?","?","?","?","?","FALSE","TRUE","TRUE","Neither"
"936","ende1235","False","False","False","False","True","False","False","True","False","True","False","?","False","False","?","False","False","?","?","?","?","?","FALSE","FALSE","FALSE","FALSE","TreeInBark"
"944","epen1239","?","True","False","?","?","False","?","False","False","False","?","?","False","?","?","False",NA,"?","?","?","?","?","FALSE","FALSE","?","FALSE","TreeInBark"
"945","eree1240","False","False","?","False","False","False","True","False","False","False","False","False","?","False","?","False","False","?","?","?","?","?","FALSE","FALSE","TRUE","FALSE","Neither"
"949","eryu1239","?","?","?","?","False","?","?","?","False","?","False","?","?","?","?","False","False","?","?","?","?","?","?","FALSE","FALSE","FALSE","?"
"950","erzy1239","False","False","False","False","False","False","True","False","False","False","False","?","False","True","?","False","False","?","?","TRUE","?","?","TRUE","FALSE","FALSE","FALSE","Neither"
"952","esee1248","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","FALSE","FALSE","TRUE","FALSE","?"
"953","esha1238","False","False","False","True","True","?","?","False","False","False","False","?","?","False","?","False","False","?","?","?","?","?","FALSE","FALSE","?","FALSE","?"
"967","fada1248","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","False","?","?","?","?","?","?","?","?","?","?"
"969","fait1240","False","False","False","False","?","False","?","?","?","?","?","?","?","False","?","False","True","?","?","?","?","?","?","?","?","FALSE","?"
"971","fali1285","False","False","?","?","?","False","?","True","False","False","False","False","?","?","?","False","True","False","?","?","?","?","?","?","FALSE","?","Neither"
"975","farn1234","True","False","?","True","True","?","True","False","False","False","False","?","?","False","?","False","False","?","?","?","?","?","FALSE","FALSE","FALSE","FALSE","?"
"983","femb1238","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","False","?","?","?","?","?","?","?","?","?","?"
"989","folo1238","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","TRUE","FALSE","?"
"990","fonn1241","False","True","False","?","?","?","False","?","?","?","False","False","False","?","?","False","False","?","?","?","?","?","FALSE","FALSE","?","?","?"
"993","fore1265","True","False","?","True","False","False","True","False","False","False","False","?","False","False","?","False","False","False","?","?","?","?","FALSE","FALSE","FALSE","FALSE","TreeInBark"
"1006","fuyu1242","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","True","True","?","?","?","?","?","?","?","?","?","?"
"1013","gaan1243","False","False","?","?","?","False","?","False","False","False","False","False","?","?","?","True","False","?","?","?","?","?","?","?","FALSE","FALSE","Neither"
"1023","gaik1242","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","False","?","?","?","?","?","?","?","?","?","?"
"1027","gali1262","False","False","False","False","False","True","False","False","False","False","True","?","False","False","vigesimal","False","False","False","TRUE","?","one-th, two-th, three-th","?","TRUE","FALSE","FALSE","FALSE","BarkAndSkin"
"1031","gami1243","?","False","False","?","False","False","?","?","False","?","?","?","?","?","?","True","False",NA,"?","?","?","?","?","?","?","FALSE","?"
"1037","gang1267","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?",NA,"?","?","?","?","FALSE","TRUE","?","?","?"
"1044","gari1256","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","TRUE","?","first, two-th, three-th","?","?","?","FALSE","FALSE","?"
"1045","garu1246","False","False","False","False","?","False","?","?","?","?","?","?","?","False","?","False","False","?","?","?","?","?","?","?","?","FALSE","?"
"1049","gaww1239","False","False","False","False","False","False","True","False","False","False","False","?","False","False","?","False","False","?","?","?","?","?","TRUE","FALSE","FALSE","FALSE","Neither"
"1052","gbar1246","True","False","False","?","?","?","True","?","?","?","False","True","False","?","?","False","True","?","?","?","?","?","FALSE","FALSE","?","?","?"
"1057","gdon1234","?","False","False","False","False","False","?","False","False","False","False","False","?","False","?","False","False","?","?","?","?","?","FALSE","FALSE","FALSE","FALSE","Neither"
"1061","geji1246","False","False","?","?","?","?","?","False","False","False","False","True","?","?","?","False","False","?","?","?","?","?","?","?","FALSE","FALSE","Neither"
"1065","gepo1234","True","False","False","False","True","?","?","False","False","True","False","?","?","True","?","False","False","?","?","?","?","?","FALSE","FALSE","?","FALSE","?"
"1066","gera1246","True","False","?","?","?","?","?","False","False","True","False","True","?","?","?","True","False","?","?","?","?","?","?","?","?","?","Neither"
"1076","ghul1238","False","False","?","?","True","False","?","True","False","True","False","?","False","?","?","?","?","?","?","?","?","?","?","FALSE","FALSE","FALSE","Neither"
"1082","gily1242","True","False","False","False","False","?","True","False","False","False","False","?","False","False","decimal","?","?","False","TRUE","TRUE","first, two, three","?","TRUE","FALSE","?","?","Neither"
"1085","gira1247","False","False","False","False","?","False","?","?","?","?","?","?","?","False","?","False","False","?","?","?","?","?","?","?","?","FALSE","?"
"1088","gitx1241","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","TRUE","FALSE","?","?","?"
"1089","glav1244","False","False","?","?","?","False","?","False","False","False","False","False","?","?","?","False","False","True","?","?","?","?","?","?","?","FALSE","Neither"
"1092","goem1240","False","False","?","?","?","False","?","True","False","False","False","True","?","?","?","False","False","?","?","?","?","?","?","?","TRUE","FALSE","Neither"
"1097","goon1238","?","?","?","?","?","?","?","?","?","?","?","?","?","?","restricted","?","?",NA,"FALSE","FALSE",NA,"?","FALSE","?","?","?","?"
"1102","gras1249","False","False","?","?","True","False","?","False","False","False","?","?","False","?","?","?","?","?","FALSE","TRUE",NA,"?","?","FALSE","?","FALSE","BarkAndSkin"
"1106","guah1255","?","?","?","?","False","False","?","False","False","False","?","?","False","?","?","?","?","?","?","?","?","?","FALSE","FALSE","TRUE","FALSE","?"
"1107","guaj1255","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","False","False","?","?","?","?","FALSE","FALSE","?","?","?"
"1109","guam1248","?","False","False","?","False","False","False","True","True","True","?","?","False","?","?","False","False","False","?","?","?","?","FALSE","FALSE","TRUE","FALSE","BarkAndSkin"
"1111","guan1268","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","FALSE","FALSE","?","?","?"
"1112","guan1269","?","False","False","?","False","False","False","True","False","False","?","?","False","?","?","True",NA,"?","?","?","?","?","FALSE","FALSE","?","FALSE","TreeInBark"
"1117","guat1253","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","FALSE","FALSE","?","?","?"
"1118","guay1257","?","False","False","?","False","False","False","False","False","False","?","?","False","?","?","False","?","?","?","?","?","?","FALSE","FALSE","?","FALSE","Neither"
"1121","gudu1250","False","False","?","?","?","False","?","False","False","False","False","False","?","?","?","True","True","?","?","?","?","?","?","?","FALSE","FALSE","Neither"
"1122","gudu1252","False","False","?","?","?","True","?","?","False","?","False","False","?","?","?","False","False","?","?","TRUE","?","?","?","?","?","FALSE","Neither"
"1126","guga1239","?","False","False","?","?","False","False","?","False","?","?","?","?","?","?","False","False",NA,"?","?","?","?","?","?","?","FALSE","?"
"1129","gugu1255","?","False","False","?","False","?","?","?","False","?","?","?","?","?","?","False","False",NA,"?","?","?","?","FALSE","FALSE","?","FALSE","?"
"1130","guhu1244","False","False","?","?","False","False","?","False","False","True","True","?","False","?","?","?","?","?","?","?","?","?","?","FALSE","FALSE","FALSE","Neither"
"1146","guma1253","?","False","False","?","False","False","False","?","False","?","?","?","?","?","?","False","False",NA,"?","?","?","?","?","?","?","FALSE","?"
"1148","guma1255","True","False","False","False","?","False","?","?","?","?","?","?","?","False","?","False","False","?","?","?","?","?","?","?","?","FALSE","?"
"1158","gupa1247","?","False","False","?","False","False","False","?","False","?","?","?","?","?","?","False","False",NA,"?","?","?","?","?","?","?","FALSE","?"
"1161","gurd1238","?","False","False","?","False","True","False","?","False","?","?","?","?","?","?","False","True","False","?","?","?","?","?","?","?","?","?"
"1169","guya1249","?","False","False","?","False","False","False","?","False","?","?","?","?","?","?","True","False","?","?","?","?","?","?","?","?","FALSE","?"
"1178","haid1248","?","?","?","?","?","?","?","?","?","?","?","?","?","?","decimal","?","?","?","?","TRUE","?","?","FALSE","FALSE","?","?","?"
"1188","halk1245","False","False","?","?","False","False","?","False","False","False","False","?","False","?","?","?","?","False","?","?","?","?","?","FALSE","FALSE","FALSE","Neither"
"1196","hani1248","?","?","?","?","?","?","?","False","False","False","False","?","?","False","?","False","False","?","?","?","?","?","FALSE","FALSE","FALSE","FALSE","?"
"1201","haru1245","?","?","?","?","?","?","?","?","?","?","?","?","?","?","extended body-part system","False","True","?","?","?","?","?","?","?","?","?","?"
"1203","haus1257","?","?","?","?","?","?","?","?","?","?","False","?","?","?","decimal","?","False","?","TRUE","TRUE","first, two-th, three-th","affective meanings","TRUE","FALSE","?","?","?"
"1204","hava1248","?","?","?","?","?","?","?","?","?","?","?","?","?","?","decimal","?","?","?","?","?","?","?","TRUE","FALSE","?","?","?"
"1206","hawa1245","False","False","False","True","False","False","True","False","True","False","False","?","False","True","?","False","True","False","TRUE","TRUE","first/one-th, two-th, three-th","?","TRUE","TRUE","FALSE","FALSE","BarkAndSkin"
"1211","hebr1245","False","True","False","False","False","False","True","False","False","False","False","?","False","False","decimal","False","False","False","TRUE","FALSE","first, two-th, three-th","logical meanings","FALSE","FALSE","FALSE","FALSE","TreeInBark"
"1218","heqi1238","?","?","?","?","False","?","?","?","False","?","False","?","?","?","?","False","True","?","?","?","?","?","?","FALSE","FALSE","FALSE","?"
"1221","high1242","?","False","?","?","False","False","?","False","True","False","False","?","False","?","?","?","?","?","?","?","?","?","TRUE","FALSE","FALSE","FALSE","Neither"
"1222","high1243","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","FALSE","FALSE","?","?","?"
"1228","hiri1237","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","False","?","?","?","?","?","?","?","?","?","?"
"1232","hlep1236","False","True","False","False","?","?","False","False","?","False","False","?","False","False","?","False","False","?","?","?","?","?","TRUE","?","FALSE","FALSE","Neither"
"1235","hmon1333","False","False","?","?","?","True","?","False","False","False","False","?","False","?","?","?","?","?","?","?","?","affective meanings","FALSE","FALSE","?","?","?"
"1242","honi1244","False","False","False","False","True","False","?","False","False","False","False","?","?","False","?","False","False","?","?","?","?","?","TRUE","FALSE","FALSE","FALSE","?"
"1244","hopi1249","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","TRUE","?","one-th, two-th, three-th","?","TRUE","FALSE","?","?","?"
"1249","hrus1242","?","False","False","?","?","?","?","?","False","?","True","?","?","?","?","?","?","?","?","?","?","?","?","FALSE","?","FALSE","?"
"1250","huaa1248","?","?","?","?","?","?","?","?","?","?","?","?","?","?","restricted","?","?","False","FALSE","?",NA,"?","TRUE","FALSE","?","?","?"
"1252","huam1247","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","FALSE","FALSE","?","?","?"
"1255","huas1242","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","FALSE","FALSE","TRUE","FALSE","?"
"1259","huba1236","False","False","?","?","?","False","?","False","False","False","False","False","?","?","?","False","False","False","?","?","?","?","?","?","FALSE","FALSE","Neither"
"1262","huil1243","False","True","False","False","True","?","?","False","False","False","False","?","?","False","?","False","False","?","?","?","?","?","FALSE","FALSE","?","FALSE","?"
"1265","humb1243","?","False","False","?","?","?","True","?","?","?","False","?","?","?","?","True","False","?","?","?","?","?","?","FALSE","?","FALSE","?"
"1266","hume1246","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","False","?","?","?","?","?","?","?","?","?","?"
"1269","hung1274","False","False","False","False","False","False","True","False","False","False","False","?","False","False","decimal","False","False","False","TRUE","TRUE","first, second, three-th","affective meanings","FALSE","FALSE","FALSE","FALSE","Neither"
"1272","hunz1248","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","False","?","?","?","?","?","?","?","?","?","?"
"1274","hupd1244","?","False","?","?","?","False","?","False","False","False","?","?","False","?","restricted","?",NA,"?","?","FALSE","?","?","FALSE","FALSE","?","FALSE","?"
"1277","hwan1240","False","False","?","?","?","False","?","False","False","False","False","True","?","?","?","True","True","?","?","?","?","?","?","?","TRUE","FALSE","Neither"
"1278","hyaa1239","True","True","?","?","?","False","?","True","False","False","False","False","?","?","?","True","True","?","?","?","?","?","?","?","?","?","Neither"
"1282","iatm1242","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","False","?","?","?","?","?","?","?","?","?","?"
"1288","icel1247","False","False","False","False","False","False","False","False","False","False","False","?","False","False","?","?","?","True","TRUE","?","first, second, three-th","?","FALSE","FALSE","FALSE","FALSE","Neither"
"1311","inar1241","False","False","False","False","False","False","True","False","False","False","False","?","False","False","?","False","False","?","?","?","?","?","TRUE","FALSE","FALSE","FALSE","Neither"
"1314","ines1240","?","False","?","?","False","False","?","False","False","False","False","?","?","?","?","?","?","?","?","?","?","?","TRUE","FALSE","FALSE","FALSE","Neither"
"1315","inga1252","?","False","False","?","True","False","False","True","False","True","?","?","False","?","?","?","?","?","?","?","?","?","FALSE","FALSE","?","FALSE","Neither"
"1326","iris1253","False","False","False","False","False","False","True","False","False","False","False","?","False","False","vigesimal","False","True","False","TRUE","?","first, second, three-th","affective meanings","FALSE","FALSE","FALSE","FALSE","BarkAndSkin"
"1330","iseb1246","False","False","False","False","?","False","?","?","?","?","?","?","?","False","?","False","False","?","?","?","?","?","?","?","?","FALSE","?"
"1340","ital1282","True","False","False","False","False","True","False","False","False","False","False","?","False","False","?","?","?","True","TRUE","?","first, second, three-th","logical meanings","FALSE","FALSE","FALSE","FALSE","Neither"
"1342","itip1234","False","False","?","?","False","?","False","?","?","?","False","?","?","?","?","False","False","?","?","?","?","?","FALSE","FALSE","?","?","Neither"
"1345","iumi1238","?","?","?","False","True","False","False","?","False","?","False","False","?","False","?","False","False","False","?","?","?","?","?","FALSE","FALSE","FALSE","?"
"1358","izon1238","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","False","?","?","?","?","?","?","?","?","?","?"
"1361","jama1261","False","False","?","?","False","False","?","False","False","False","?","?","False","?","?","?","?","False","?","?","?","?","?","FALSE","FALSE","FALSE","BarkAndSkin"
"1364","jams1239","?","False","False","?","?","?","True","?","?","?","False","?","?","?","?","False","False","False","?","?","?","?","?","FALSE","?","FALSE","Neither"
"1368","jaqa1244","?","?","?","?","?","?","?","?","?","?","?","?","?","?","decimal","?","?","False","?","?","?","?","?","?","?","?","?"
"1372","jaru1254","?","False","False","?","False","False","True","?","False","?","?","?","?","?","?","False","False",NA,"?","?","?","?","?","?","?","FALSE","?"
"1387","jeri1243","?","True","False","?","True","?","?","?","?","?","False","?","?","?","?","False","False","?","?","?","?","?","TRUE","FALSE","?","FALSE","BarkAndSkin"
"1390","jian1239","?","?","?","?","False","?","?","?","False","?","False","?","?","?","?","False","False","?","?","?","?","?","?","FALSE","FALSE","FALSE","?"
"1395","jing1260","True","False","False","True","False","False","True","False","False","False","?","?","False","False","?","?","?","?","?","?","?","?","FALSE","FALSE","?","FALSE","BarkAndSkin"
"1397","jion1236","?","?","?","False","True","False","False","?","False","?","False","False","?","True","?","True","False","?","?","?","?","?","?","FALSE","FALSE","FALSE","?"
"1407","juho1239","False","False","?","?","False","True","?","True","False","False","False","?","False","?","?","?","?","False","?","?","?","?","FALSE","FALSE","TRUE","FALSE","Neither"
"1416","kaba1278","?","?","?","?","?","?","?","?","?","?","?","?","?","?","decimal","?","?","False","?","TRUE","?","?","?","?","?","?","?"
"1424","kaci1244","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","TRUE","FALSE","?","?","?"
"1426","kaer1234","?","True","?","False","?","False","?","True","True","False","False","?","?","False","?","False","False","?","?","?","?","?","?","?","?","FALSE","TreeInBark"
"1436","kain1272","False","False","?","?","False","False","?","True","False","True","?","?","False","?","?","?",NA,"False","?","?","?","?","FALSE","FALSE","TRUE","FALSE","BarkAndSkin"
"1446","kala1376","?","False","False","?","?","?","?","?","False","?","False","?","?","?","?","False","False","?","?","?","?","?","?","FALSE","?","FALSE","?"
"1447","kala1377","?","False","False","?","False","False","False","?","False","?","?","?","?","?","?","True","False","False","?","?","?","?","?","?","?","FALSE","?"
"1458","kalk1246","?","False","False","?","False","False","False","?","False","?","?","?","?","?","?","False","True",NA,"?","?","?","?","?","?","?","FALSE","?"
"1459","kalm1243","False","False","False","False","False","False","False","False","False","False","False","?","False","False","?","False","False","False","?","?","?","?","FALSE","FALSE","TRUE","FALSE","Neither"
"1462","kama1365","?","False","?","False","True","False","?","True","False","False","False","?","?","False","?","?","False","False","?","?","?","?","?","?","TRUE","FALSE","Neither"
"1474","kamw1239","False","?","?","?","?","?","?","?","False","False","False","?","?","?","?","?","True","False","?","?","?","?","?","?","?","FALSE","Neither"
"1477","kana1293","False","False","?","?","False","?","False","?","?","?","False","?","?","?","?","False","False","?","?","?","?","?","FALSE","FALSE","?","?","Neither"
"1479","kane1243","False","False","False","?","?","?","False","?","?","?","False","True","False","?","?","True","False","?","?","?","?","?","TRUE","FALSE","?","?","?"
"1491","kaqc1270","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","TRUE","?","first, two-th, three-th","?","TRUE","FALSE","FALSE","FALSE","?"
"1492","kara1289","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","FALSE","TRUE","?","?","?"
"1497","kara1476","?","False","False","?","False","False","False","?","False","?","?","?","?","?","?","False","False",NA,"?","?","?","?","?","?","?","FALSE","?"
"1502","kara1499","True","False","False","False","False","False","True","True","False","False","False","?","False","True","?","?","?","?","?","?","?","?","TRUE","FALSE","TRUE","FALSE","TreeInBark"
"1503","kara1500","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?",NA,"False","?","?","?","?","FALSE","TRUE","TRUE","FALSE","?"
"1505","kare1335","False","False","False","False","False","False","True","False","False","False","False","?","False","False","?","False","True","False","TRUE","?","first, second, three-th","?","TRUE","FALSE","FALSE","FALSE","Neither"
"1507","kare1341","False","False","False","False","?","False","?","?","?","?","?","?","?","False","?","False","False","?","?","?","?","?","?","?","?","FALSE","?"
"1508","kare1348","False","False","?","?","?","False","?","False","False","False","False","False","?","?","?","True","False","?","?","?","?","?","?","?","TRUE","FALSE","Neither"
"1511","kari1304","?","False","False","?","False","False","False","?","False","?","?","?","?","?","?","False","False",NA,"?","?","?","?","?","?","?","FALSE","?"
"1515","karo1304","False","False","?","?","False","False","?","False","False","False","False","?","True","?","decimal","?","?","False","?","?","?","?","FALSE","TRUE","TRUE","FALSE","BarkAndSkin"
"1517","kart1247","?","?","False","?","False","False","False","?","False","?","?","?","?","?","?","False","False",NA,"?","?","?","?","?","?","?","FALSE","?"
"1525","katc1249","False","False","?","?","False","False","?","True","False","False","True","?","False","?","?","?","?","False","?","?","?","?","?","FALSE","FALSE","FALSE","Neither"
"1532","kats1235","True","False","False","False","True","False","?","True","False","False","False","?","?","False","?","True","True","?","?","?","?","?","?","FALSE","FALSE","FALSE","?"
"1535","kaur1267","?","False","False","?","False","False","False","?","False","?","?","?","?","?","?","False","False",NA,"?","?","?","?","FALSE","TRUE","?","FALSE","?"
"1536","kaur1271","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","False","?","?","?","?","?","?","?","?","?","?"
"1541","kaya1319","?","?","?","?","?","?","?","?","?","?","?","?","?","?","restricted","?","?",NA,"FALSE","TRUE",NA,"?","?","?","?","?","?"
"1546","kaza1248","False","False","False","False","False","False","False","False","False","False","False","?","False","False","?","False","False","?","TRUE","?","one-th, two-th, three-th","?","TRUE","FALSE","FALSE","FALSE","Neither"
"1549","kehu1238","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","False","?","?","?","?","?","?","?","?","?","?"
"1552","kein1239","False","False","False","False","?","False","?","?","?","?","?","?","?","False","?","False","False","?","?","?","?","?","?","?","?","FALSE","?"
"1553","kekc1242","?","False","?","?","False","False","?","False","False","False","False","?","False","?","?","?","?","False","TRUE","?","first, two-th, three-th","?","FALSE","FALSE","FALSE","FALSE","Neither"
"1559","kelo1247","?","True","?","?","False","False","?","False","False","False","False","?","?","?","?","False","?","?","?","?","?","?","?","?","TRUE","FALSE","Neither"
"1561","kemt1242","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","TRUE","FALSE","?"
"1576","khak1248","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","True","False","False","?","TRUE","?","?","TRUE","FALSE","?","?","?"
"1580","khan1273","False","False","False","True","False","False","True","False","False","False","False","?","?","True","decimal","?","?","False","TRUE","TRUE","first, second, three-th","?","TRUE","FALSE","FALSE","FALSE","Neither"
"1588","khoi1252","?","True","False","?","True","?","?","?","?","?","False","?","?","?","?","?","?","?","?","?","?","?","TRUE","FALSE","?","FALSE","BarkAndSkin"
"1589","khoi1253","?","True","False","?","True","?","?","?","?","?","False","?","?","?","?","False","False","?","?","?","?","?","TRUE","FALSE","?","FALSE","BarkAndSkin"
"1590","khon1248","False","True","False","True","False","False","False","False","False","False","?","?","False","True","?","False","False","?","?","?","?","?","FALSE","FALSE","?","FALSE","Neither"
"1594","khum1248","?","True","?","?","False","False","True","?","False","?","False","?","?","?","?","False","False","?","?","?","?","affective meanings","?","?","?","FALSE","Neither"
"1601","kild1236","False","False","False","False","?","False","?","False","False","False","False","?","False","False","?","False","False","False","?","TRUE","?","?","TRUE","FALSE","FALSE","FALSE","Neither"
"1606","kimm1245","?","?","?","?","?","False","?","?","False","?","?","?","?","?","?","?","False","?","?","?","?","?","?","FALSE","?","FALSE","?"
"1612","kirg1245","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","False","?","TRUE","TRUE","one-th, two-th, three-th","?","FALSE","FALSE","?","?","?"
"1616","kiry1234","False","False","?","?","?","False","?","False","False","False","False","False","?","?","?","False","True","?","?","?","?","?","?","?","FALSE","FALSE","Neither"
"1627","klam1254","True","False","?","?","False","False","?","?","False","?","True","?","?","?","?","?","?","False","?","?","?","?","FALSE","FALSE","FALSE","FALSE","Neither"
"1628","klao1243","False","True","False","?","?","?","False","?","?","?","True","True","False","?","?","False",NA,"?","?","?","?","?","FALSE","FALSE","?","?","?"
"1630","koas1236","?","?","?","?","?","?","?","?","?","?","?","?","?","?","decimal","?","?","?","TRUE","?","first, two-th, three-th","?","FALSE","FALSE","?","?","?"
"1631","kobo1248","False","False","False","False","?","False","?","?","?","?","?","?","?","False","?","False","False","?","?","?","?","?","?","?","?","FALSE","?"
"1637","koit1244","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","True","False","?","?","?","?","?","?","?","?","?","?"
"1643","kolp1236","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","True","?","?","?","?","?","?","?","?","?","?"
"1650","komi1268","False","False","False","False","False","False","True","True","False","False","False","?","False","False","?","True","True","?","TRUE","?","first, second, three-th","?","TRUE","FALSE","FALSE","FALSE","Neither"
"1651","komi1269","False","False","False","False","False","False","False","False","False","False","False","?","False","False","?","False","True","?","?","?","?","?","FALSE","FALSE","FALSE","FALSE","Neither"
"1662","kony1246","True","False","False","False","False","False","True","False","False","False","?","?","False","False","?","False","False","?","?","?","?","?","TRUE","FALSE","?","FALSE","Neither"
"1663","koon1244","True","False","False","?","?","?","False","?","?","?","False","False","False","?","?","False","True","?","?","TRUE","?","?","TRUE","FALSE","?","?","?"
"1666","kopa1248","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","False","?","?","?","?","?","?","?","?","?","?"
"1667","kora1294","False","False","False","False","?","?","?","?","?","?","?","?","?","False","?","False","False","?","?","?","?","?","TRUE","FALSE","?","FALSE","?"
"1669","kora1296","False","False","False","False","?","False","?","?","?","?","?","?","?","False","?","False","True","?","?","?","?","?","?","?","?","FALSE","?"
