"","ID","Parameter_ID","Name","Description","Number","icon"
"336","63A-1","63A","'And' different from 'with'","AND-languages: 'and' and 'with' are not identical",1,"cdd0000"
"337","63A-2","63A","'And' identical to 'with'","WITH-languages: 'and' and 'with' are identical",2,"cffff00"
"338","64A-1","64A","Identity","Nominal and verbal conjunction are largely identical",1,"cffff00"
"339","64A-2","64A","Differentiation","Nominal and verbal conjunction are different",2,"cdd0000"
"340","64A-3","64A","Both expressed by juxtaposition","Nominal and verbal conjunction are primarily expressed by juxtaposition",3,"cffffff"
"341","65A-1","65A","Grammatical marking","Grammatical marking of perfective/imperfective distinction",1,"cdd0000"
"342","65A-2","65A","No grammatical marking","No grammatical marking of perfective/imperfective distinction",2,"cffffff"
"343","66A-1","66A","Present, no remoteness distinctions","Past/non-past distinction marked; no remoteness distinction",1,"cffff00"
"344","66A-2","66A","Present, 2-3 remoteness distinctions","Past/non-past distinction marked; 2-3 degrees of remoteness distinguished",2,"cff6600"
"345","66A-3","66A","Present, 4 or more remoteness distinctions","Past/non-past distinction marked; at least 4 degrees of remoteness distinguished",3,"cdd0000"
"346","66A-4","66A","No past tense","No grammatical marking of past/non-past distinction",4,"cffffff"
"347","67A-1","67A","Inflectional future exists","Inflectional marking of future/non-future distinction",1,"cdd0000"
"348","67A-2","67A","No inflectional future","No inflectional marking of future/non-future distinction",2,"cffffff"
"349","68A-1","68A","From possessive","Perfect of the 'have'-type (derived from a possessive construction)",1,"c0000dd"
"350","68A-2","68A","From 'finish', 'already'","Perfect derived from word meaning 'finish' or 'already'",2,"cdd0000"
"351","68A-3","68A","Other perfect","Other perfect",3,"cffff00"
"352","68A-4","68A","No perfect","No perfect",4,"cffffff"
"353","69A-1","69A","Tense-aspect prefixes","Tense-aspect prefixes",1,"cdd0000"
"354","69A-2","69A","Tense-aspect suffixes","Tense-aspect suffixes",2,"c0000dd"
"355","69A-3","69A","Tense-aspect tone","Tense-aspect tone",3,"cffff00"
"356","69A-4","69A","Mixed type","Combination of tense-aspect strategies with none primary",4,"ccccccc"
"357","69A-5","69A","No tense-aspect inflection","No tense-aspect inflection",5,"cffffff"
"358","70A-1","70A","Second singular and second plural","The language has morphologically dedicated second singular as well as second plural imperatives",1,"c990099"
"359","70A-2","70A","Second singular","The language has morphologically dedicated second singular imperatives but no morphologically dedicated second plural imperatives",2,"c0000dd"
"360","70A-3","70A","Second plural","The language has morphologically dedicated second plural imperatives but no morphologically dedicated second singular imperatives",3,"cdd0000"
"361","70A-4","70A","Second person number-neutral","The language has morphologically dedicated second person imperatives that do not distinguish between singular and plural",4,"cffff00"
"362","70A-5","70A","No second-person imperatives","The language has no morphologically dedicated second-person imperatives at all",5,"cffffff"
"363","71A-1","71A","Normal imperative + normal negative","The prohibitive uses the verbal construction of the second singular imperative and a sentential negative strategy found in (indicative) declaratives",1,"cdd0000"
"364","71A-2","71A","Normal imperative + special negative","The prohbitive uses the verbal construction of the second singular imperative and a sentential negative strategy not found in (indicative) declaratives",2,"c0000dd"
"365","71A-3","71A","Special imperative + normal negative","The prohibitive uses a verbal construction other than the second singular imperative and a sentential negative strategy found in (indicative) declaratives",3,"ddd0000"
"366","71A-4","71A","Special imperative + special negative","The prohibitive uses a verbal construction other than the second singular imperative and a sentential negative strategy not found in (indicative) declaratives",4,"d0000dd"
"367","72A-1","72A","Maximal system","The language has a maximal system, but not a minimal one",1,"c0000dd"
"368","72A-2","72A","Minimal system","The language has a minimal system, but not a maximal one",2,"cdd0000"
"369","72A-3","72A","Both types of system","The language has both a maximal and a minimal system",3,"c990099"
"370","72A-4","72A","Neither type of system","The language has neither a maximal nor a minimal system",4,"cffffff"
"371","73A-1","73A","Inflectional optative present","Inflectional optative present",1,"cdd0000"
"372","73A-2","73A","Inflectional optative absent","Inflectional optative absent",2,"cffffff"
"373","74A-1","74A","Affixes on verbs","The language can express situational possibility with affixes on verbs",1,"cdd0000"
"374","74A-2","74A","Verbal constructions","The language cannot express situational possibility with affixes on verbs, but with verbal constructions",2,"c0000dd"
"375","74A-3","74A","Other kinds of markers","The language cannot express situational possibility with affixes on verbs or with verbal constructions, but with other kinds of markers",3,"cffff00"
"376","75A-1","75A","Verbal constructions","The language can express epistemic possibility with verbal constructions",1,"c0000dd"
"377","75A-2","75A","Affixes on verbs","The language cannot express epistemic possibility with verbal constructions, but with affixes on verbs",2,"cdd0000"
"378","75A-3","75A","Other","The language cannot express epistemic possibility with verbal constructions or with affixes on verbs, but with other kinds of markers",3,"cffff00"
"379","76A-1","76A","Overlap for both possibility and necessity","The language has markers that can code both situational and epistemic modality, both for possibility and necessity",1,"cdd0000"
"380","76A-2","76A","Overlap for either possibility or necessity","The language has markers that can code both situational and epistemic modality, but only for possibility or for necessity",2,"cff66ff"
"381","76A-3","76A","No overlap","The language has no markers that can code both situational and epistemic modality",3,"cffffff"
"382","77A-1","77A","No grammatical evidentials","No grammatical evidentials",1,"cffffff"
"383","77A-2","77A","Indirect only","Only indirect evidentials",2,"cff66ff"
"384","77A-3","77A","Direct and indirect","Both direct and indirect evidentials",3,"cdd0000"
"385","78A-1","78A","No grammatical evidentials","No grammatical evidentials",1,"cffffff"
"386","78A-2","78A","Verbal affix or clitic","Verbal affix or clitic",2,"cff66ff"
"387","78A-3","78A","Part of the tense system","Part of the tense system",3,"cdd0000"
"388","78A-4","78A","Separate particle","Separate particle",4,"c0000dd"
"389","78A-5","78A","Modal morpheme","Modal morpheme",5,"cffff00"
"390","78A-6","78A","Mixed","Mixed systems",6,"ccccccc"
"391","79A-1","79A","Tense","Suppletion according to tense",1,"c0000dd"
"392","79A-2","79A","Aspect","Suppletion according to aspect",2,"cdd0000"
"393","79A-3","79A","Tense and aspect","Suppletion in both tense and aspect",3,"c990099"
"394","79A-4","79A","None","No suppletion in tense or aspect",4,"cffffff"
"395","79B-1","79B","A regular and a suppletive form alternate","A regular and a suppletive form alternate",1,"cffff00"
"396","79B-2","79B","Imperative","Imperative",2,"c0000dd"
"397","79B-3","79B","Hortative","Hortative",3,"cdd0000"
"398","79B-4","79B","Imperative and Hortative","Imperative and Hortative",4,"c990099"
"399","79B-5","79B","None (= no suppletive imperatives reported in the reference material)","None (= no suppletive imperatives reported in the reference material)",5,"cffffff"
"400","80A-1","80A","None","No singular-(dual)-plural pairs/triples",1,"cffffff"
"401","80A-2","80A","Singular-plural pairs, no suppletion","Singular-plural pairs, no suppletion",2,"c0000dd"
"402","80A-3","80A","Singular-plural pairs, suppletion","Singular-plural pairs, suppletion",3,"cdd0000"
"403","80A-4","80A","Singular-dual-plural triples, no suppletion","Singular-dual-plural triples, no suppletion",4,"d0000dd"
"404","80A-5","80A","Singular-dual-plural triples, suppletion","Singular-dual-plural triples, suppletion",5,"ddd0000"
"405","81A-1","81A","SOV","Subject-object-verb (SOV)",1,"c0000dd"
"406","81A-2","81A","SVO","Subject-verb-object (SVO)",2,"cdd0000"
"407","81A-3","81A","VSO","Verb-subject-object (VSO)",3,"cffff00"
"408","81A-4","81A","VOS","Verb-object-subject (VOS)",4,"dffff00"
"409","81A-5","81A","OVS","Object-verb-subject (OVS)",5,"ddd0000"
"410","81A-6","81A","OSV","Object-subject-verb (OSV)",6,"d0000dd"
"411","81A-7","81A","No dominant order","Lacking a dominant word order",7,"ccccccc"
"412","81B-1","81B","SOV or SVO","SOV or SVO",1,"c990099"
"413","81B-2","81B","VSO or VOS","VSO or VOS",2,"tffff00"
"414","81B-3","81B","SVO or VSO","SVO or VSO",3,"cff6600"
"415","81B-4","81B","SVO or VOS","SVO or VOS",4,"tff6600"
"416","81B-5","81B","SOV or OVS","SOV or OVS",5,"t990099"
"417","82A-1","82A","SV","Subject precedes verb (SV)",1,"c0000dd"
"418","82A-2","82A","VS","Subject follows verb (VS)",2,"cdd0000"
"419","82A-3","82A","No dominant order","Both orders with neither order dominant",3,"ccccccc"
"420","83A-1","83A","OV","Object precedes verb (OV)",1,"c0000dd"
"421","83A-2","83A","VO","Object follows verb (VO)",2,"cdd0000"
"422","83A-3","83A","No dominant order","Both orders with neither order dominant",3,"ccccccc"
"423","84A-1","84A","VOX","Verb-object-oblique (VOX)",1,"cdd0000"
"424","84A-2","84A","XVO","Oblique-verb-object (XVO)",2,"cff66ff"
"425","84A-3","84A","XOV","Oblique-object-verb (XOV)",3,"c0000dd"
"426","84A-4","84A","OXV","Object-oblique-verb (OXV)",4,"d0000dd"
"427","84A-5","84A","OVX","Object-verb-oblique (OVX)",5,"c9999ff"
"428","84A-6","84A","No dominant order","More than one order with none dominant",6,"ccccccc"
"429","85A-1","85A","Postpositions","Postpositions",1,"c0000dd"
"430","85A-2","85A","Prepositions","Prepositions",2,"cdd0000"
"431","85A-3","85A","Inpositions","Inpositions",3,"cffff00"
"432","85A-4","85A","No dominant order","More than one adposition type with none dominant",4,"ccccccc"
"433","85A-5","85A","No adpositions","No adpositions",5,"cffffff"
"434","86A-1","86A","Genitive-Noun","Genitive-noun (GenN)",1,"c0000dd"
"435","86A-2","86A","Noun-Genitive","Noun-genitive (NGen)",2,"cdd0000"
"436","86A-3","86A","No dominant order","Both orders occur with neither order dominant",3,"ccccccc"
"437","87A-1","87A","Adjective-Noun","Modifying adjective precedes noun (AdjN)",1,"cffff00"
"438","87A-2","87A","Noun-Adjective","Modifying adjective follows noun (NAdj)",2,"c990099"
"439","87A-3","87A","No dominant order","Both orders of noun and modifying adjective occur, with neither dominant",3,"ccccccc"
"440","87A-4","87A","Only internally-headed relative clauses","Adjectives do not modify nouns, occurring as predicates in internally headed relative clauses",4,"cffffff"
"441","88A-1","88A","Demonstrative-Noun","Demonstrative word precedes noun (DemN)",1,"cffff00"
"442","88A-2","88A","Noun-Demonstrative","Demonstrative word follows noun (NDem)",2,"c990099"
"443","88A-3","88A","Demonstrative prefix","Demonstrative prefix on noun",3,"dffff00"
"444","88A-4","88A","Demonstrative suffix","Demonstrative suffix on noun",4,"d990099"
"445","88A-5","88A","Demonstrative before and after Noun","Demonstrative simultaneously before and after noun",5,"c000000"
"446","88A-6","88A","Mixed","Two or more of above types with none dominant",6,"cffffff"
"447","89A-1","89A","Numeral-Noun","Numeral precedes noun (NumN)",1,"cffff00"
"448","89A-2","89A","Noun-Numeral","Numeral follows noun (NNum)",2,"c990099"
"449","89A-3","89A","No dominant order","Both orders of numeral and noun with neither order dominant",3,"ccccccc"
"450","89A-4","89A","Numeral only modifies verb","Numeral only modifies verb",4,"cffffff"
"451","90A-1","90A","Noun-Relative clause","Relative clause follows noun (NRel)",1,"cdd0000"
"452","90A-2","90A","Relative clause-Noun","Relative clause precedes noun (RelN)",2,"c0000dd"
"453","90A-3","90A","Internally headed","Internally-headed relative clause",3,"c990099"
"454","90A-4","90A","Correlative","Correlative relative clause",4,"cffff00"
"455","90A-5","90A","Adjoined","Adjoined relative clause",5,"cff6600"
"456","90A-6","90A","Doubly headed","Double-headed relative clause",6,"caa0000"
"457","90A-7","90A","Mixed","Mixed types of relative clause with none dominant",7,"ccccccc"
"458","90B-1","90B","Relative clause-Noun (RelN) dominant","Relative clause-Noun (RelN) dominant",1,"c0000dd"
"459","90B-2","90B","RelN or NRel","RelN or NRel",2,"cdd0000"
"460","90B-3","90B","RelN or internally-headed","RelN or internally-headed",3,"c990099"
"461","90B-4","90B","RelN or correlative","RelN or correlative",4,"cffff00"
"462","90B-5","90B","RelN or double-headed","RelN or double-headed",5,"caa0000"
"463","90C-1","90C","Noun-Relative clause (NRel) dominant","Noun-Relative clause (NRel) dominant",1,"cdd0000"
"464","90C-2","90C","NRel or RelN","NRel or RelN",2,"c0000dd"
"465","90C-3","90C","NRel or internally-headed","NRel or internally-headed",3,"c990099"
"466","90C-4","90C","NRel or correlative","NRel or correlative",4,"cffff00"
"467","90D-1","90D","Internally-headed relative clause dominant","Internally-headed relative clause dominant",1,"c990099"
"468","90D-2","90D","Internally-headed or RelN","Internally-headed or RelN",2,"c0000dd"
"469","90D-3","90D","Internally-headed or NRel","Internally-headed or NRel",3,"cdd0000"
"470","90D-4","90D","Internally-headed or correlative","Internally-headed or correlative",4,"cffff00"
"471","90D-5","90D","Internally-headed or double-headed","Internally-headed or double-headed",5,"caa0000"
"472","90D-6","90D","Internally-headed occurs as nondominant type","Internally-headed occurs as nondominant type",6,"t66ff33"
"473","90D-7","90D","Internally-headed exists","Internally-headed exists",7,"tffffcc"
"474","90E-1","90E","Correlative relative clause dominant","Correlative relative clause dominant",1,"cffff00"
"475","90E-2","90E","Correlative or RelN","Correlative or RelN",2,"c0000dd"
"476","90E-3","90E","Correlative or NRel","Correlative or NRel",3,"cdd0000"
"477","90E-4","90E","Correlative or internally-headed","Correlative or internally-headed",4,"c990099"
"478","90E-5","90E","Correlative or adjoined","Correlative or adjoined",5,"cff6600"
"479","90E-6","90E","Correlative as nondominant type","Correlative as nondominant type",6,"t66ff33"
"480","90E-7","90E","Correlative exists","Correlative exists",7,"tffffcc"
"481","90F-1","90F","Adjoined relative clause dominant","Adjoined relative clause dominant",1,"cff6600"
"482","90F-2","90F","Adjoined or correlative","Adjoined or correlative",2,"cffff00"
"483","90G-1","90G","Double-headed dominant","Double-headed dominant",1,"caa0000"
"484","90G-2","90G","Double-headed or RelN","Double-headed or RelN",2,"c0000dd"
"485","90G-3","90G","Double-headed or internally-headed","Double-headed or internally-headed",3,"c990099"
"486","90G-4","90G","Double-headed as nondominant type","Double-headed as nondominant type",4,"t66ff33"
"487","91A-1","91A","Degree word-Adjective","Degree word precedes adjective (DegAdj)",1,"cffff00"
"488","91A-2","91A","Adjective-Degree word","Degree word follows adjective (AdjDeg)",2,"c990099"
"489","91A-3","91A","No dominant order","Both orders occur with neither order dominant",3,"ccccccc"
"490","92A-1","92A","Initial","Question particle at beginning of sentence",1,"cdd0000"
"491","92A-2","92A","Final","Question particle at end of sentence",2,"c0000dd"
"492","92A-3","92A","Second position","Question particle in second position in sentence",3,"cff66ff"
"493","92A-4","92A","Other position","Question particle with other position",4,"cffff00"
"494","92A-5","92A","In either of two positions","Question particle in either of two positions",5,"ccccccc"
"495","92A-6","92A","No question particle","No question particle",6,"cffffff"
"496","93A-1","93A","Initial interrogative phrase","Interrogative phrases obligatorily initial",1,"cdd0000"
"497","93A-2","93A","Not initial interrogative phrase","Interrogative phrases not obligatorily initial",2,"c0000dd"
"498","93A-3","93A","Mixed","Mixed, some interrogative phrases obligatorily initial, some not",3,"ccccccc"
"499","94A-1","94A","Initial subordinator word","Adverbial subordinators which are separate words and which appear at the beginning of the subordinate clause",1,"cdd0000"
"500","94A-2","94A","Final subordinator word","Adverbial subordinators which are separate words and which appear at the end of the subordinate clause",2,"c0000dd"
"501","94A-3","94A","Internal subordinator word","Clause-internal adverbial subordinators",3,"cffff00"
"502","94A-4","94A","Subordinating suffix","Suffixal adverbial subordinators",4,"d0000dd"
"503","94A-5","94A","Mixed","More than one type of adverbial subordinators with none dominant",5,"ccccccc"
"504","95A-1","95A","OV and Postpositions","Object-verb and postpositional (OV&Postp)",1,"c0000dd"
"505","95A-2","95A","OV and Prepositions","Object-verb and prepositional (OV&Prep)",2,"c9999ff"
"506","95A-3","95A","VO and Postpositions","Verb-object and postpositional (VO&Postp)",3,"cdd0000"
"507","95A-4","95A","VO and Prepositions","Verb-object and prepositional (VO&Prep)",4,"cff66ff"
"508","95A-5","95A","Other","Languages not falling into one of the preceding four types",5,"ccccccc"
"509","96A-1","96A","OV and RelN","Object-verb and relative clause-noun (OV&RelN)",1,"c0000dd"
"510","96A-2","96A","OV and NRel","Object-verb and noun-relative clause (OV&NRel)",2,"c9999ff"
"511","96A-3","96A","VO and RelN","Verb-object and relative clause-noun (VO&RelN)",3,"cdd0000"
"512","96A-4","96A","VO and NRel","Verb-object and noun-relative clause (VO&NRel)",4,"cff66ff"
"513","96A-5","96A","Other","Languages not falling into one of the preceding four types",5,"ccccccc"
"514","97A-1","97A","OV and AdjN","Object-verb and adjective-noun (OV&AdjN)",1,"c0000dd"
"515","97A-2","97A","OV and NAdj","Object-verb and noun-adjective (OV&NAdj)",2,"c9999ff"
"516","97A-3","97A","VO and AdjN","Verb-object and adjective-noun (VO&AdjN)",3,"cdd0000"
"517","97A-4","97A","VO and NAdj","Verb-object and noun-adjective (VO&NAdj)",4,"cff66ff"
"518","97A-5","97A","Other","Languages not falling into one of the preceding four types",5,"ccccccc"
"519","98A-1","98A","Neutral","Neutral",1,"ccccccc"
"520","98A-2","98A","Nominative - accusative (standard)","Nominative - accusative (standard)",2,"c0000dd"
"521","98A-3","98A","Nominative - accusative (marked nominative)","Nominative - accusative (marked nominative)",3,"d0000dd"
"522","98A-4","98A","Ergative - absolutive","Ergative - absolutive",4,"cdd0000"
"523","98A-5","98A","Tripartite","Tripartite",5,"c990099"
"524","98A-6","98A","Active-inactive","Active - inactive",6,"cffff00"
"525","99A-1","99A","Neutral","Neutral",1,"ccccccc"
"526","99A-2","99A","Nominative - accusative (standard)","Nominative - accusative (standard)",2,"c0000dd"
"527","99A-3","99A","Nominative - accusative (marked nominative)","Nominative - accusative (marked nominative)",3,"d0000dd"
"528","99A-4","99A","Ergative - absolutive","Ergative - absolutive",4,"cdd0000"
"529","99A-5","99A","Tripartite","Tripartite",5,"c990099"
"530","99A-6","99A","Active - inactive","Active - inactive",6,"cffff00"
"531","99A-7","99A","None","None",7,"cffffff"
"532","100A-1","100A","Neutral","Neutral alignment (no verbal person marking)",1,"ccccccc"
"533","100A-2","100A","Accusative","Accusative alignment",2,"c0000dd"
"534","100A-3","100A","Ergative","Ergative alignment",3,"cdd0000"
"535","100A-4","100A","Active","Active alignment",4,"cffff00"
"536","100A-5","100A","Hierarchical","Hierarchical alignment",5,"c000000"
"537","100A-6","100A","Split","Split alignment",6,"c990099"
"538","101A-1","101A","Obligatory pronouns in subject position","Pronominal subjects are expressed by pronouns in subject position that are normally if not obligatorily present",1,"cdd0000"
"539","101A-2","101A","Subject affixes on verb","Pronominal subjects are expressed by affixes on verbs",2,"c0000dd"
"540","101A-3","101A","Subject clitics on variable host","Pronominal subjects are expressed by clitics with variable host",3,"c9999ff"
"541","101A-4","101A","Subject pronouns in different position","Pronominal subjects are expressed by subject pronouns that occur in a different syntactic position from full noun phrase subjects",4,"cffff00"
"542","101A-5","101A","Optional pronouns in subject position","Pronominal subjects are expressed only by pronouns in subject position, but these pronouns are often left out",5,"cff66ff"
"543","101A-6","101A","Mixed","More than one of the above types with none dominant",6,"ccccccc"
"544","102A-1","102A","No person marking","No person marking of any argument",1,"cffffff"
"545","102A-2","102A","Only the A argument","Person marking of only the A argument",2,"cdd0000"
"546","102A-3","102A","Only the P argument","Person marking of only the P argument",3,"c0000dd"
"547","102A-4","102A","A or P argument","Person marking of the A or P argument",4,"c990099"
"548","102A-5","102A","Both the A and P arguments","Person marking of both the A and P arguments",5,"cffff00"
"549","103A-1","103A","No person marking","No person marking of the S",1,"cffffff"
"550","103A-2","103A","No zero realization","No zero realization of third person S forms",2,"ccccccc"
"551","103A-3","103A","Zero in some 3sg forms","Zero realization of some third person singular forms",3,"cff66ff"
"552","103A-4","103A","Zero in all 3sg forms","Zero realization of all third person singular S forms",4,"cdd0000"
"553","103A-5","103A","Zero in all 3rd person forms","Zero realization of all third person forms/No third person S forms",5,"c0000dd"
"554","103A-6","103A","Zero only in 3rd nonsingular","Zero realization only of third person non-singular",6,"cffff00"
"555","104A-1","104A","A and P do not or do not both occur on the verb","A and P do not or do not both occur on the verb",1,"cffffff"
"556","104A-2","104A","A precedes P","A precedes P",2,"cdd0000"
"557","104A-3","104A","P precedes A","P precedes A",3,"c0000dd"
"558","104A-4","104A","Both orders of A and P occur","Both orders of A and P occur",4,"cffff00"
"559","104A-5","104A","A and P are fused","A and P are fused",5,"c990099"
"560","105A-1","105A","Indirect-object construction","Indirect-object construction",1,"cdd0000"
"561","105A-2","105A","Double-object construction","Double-object construction",2,"c9999ff"
"562","105A-3","105A","Secondary-object construction","Secondary-object construction",3,"c0000dd"
"563","105A-4","105A","Mixed","Mixed",4,"ccccccc"
"564","106A-1","106A","No reciprocals","There are no non-iconic reciprocal constructions.",1,"cffffff"
"565","106A-2","106A","Distinct from reflexive","All reciprocal constructions are formally distinct from reflexive constructions.",2,"cdd0000"
"566","106A-3","106A","Mixed","There are both reflexive and non-reflexive reciprocal constructions.",3,"cff6600"
"567","106A-4","106A","Identical to reflexive","The reciprocal and reflexive constructions are formally identical.",4,"cffff00"
"568","107A-1","107A","Present","There is a passive construction",1,"cdd0000"
"569","107A-2","107A","Absent","There is no passive construction",2,"cffffff"
"570","108A-1","108A","Implicit patient","Antipassive with patient-like argument left implicit",1,"c0000dd"
"571","108A-2","108A","Oblique patient","Antipassive with patient-like argument expressed as oblique complement",2,"cdd0000"
"572","108A-3","108A","No antipassive","No antipassive",3,"cffffff"
"573","108B-1","108B","productive","productive",1,"cdd0000"
"574","108B-2","108B","partially productive","partially productive",2,"c990099"
"575","108B-3","108B","not productive","not productive",3,"c0000dd"
"576","108B-4","108B","no antipassive","no antipassive",4,"cffffff"
"577","109A-1","109A","Benefactive object; both bases","Benefactive object only; both bases",1,"cdd0000"
"578","109A-2","109A","Benefactive object; only transitive","Benefactive object only; transitive base only",2,"ddd0000"
"579","109A-3","109A","Benefactive and other; both bases","Benefactive and other; both bases",3,"c990099"
"580","109A-4","109A","Benefactive and other; only transitive","Benefactive and other; transitive base only",4,"d990099"
"581","109A-5","109A","Non-benefactive object; both bases","Non-benefactive object only; both bases",5,"c0000dd"
"582","109A-6","109A","Non-benefactive object; only transitive","Non-benefactive object only; transitive base only",6,"d0000dd"
"583","109A-7","109A","Non-benefactive object; only intransitive","Non-benefactive object only; intransitive base only",7,"s0000dd"
"584","109A-8","109A","No applicative construction","No applicative construction",8,"cffffff"
"585","109B-1","109B","Instrument","Instrument",1,"c0000dd"
"586","109B-2","109B","Locative","Locative",2,"s0000dd"
"587","109B-3","109B","Instrument and locative","Instrument and locative",3,"d0000dd"
"588","109B-4","109B","No other roles (= Only benefactive)","No other roles (= Only benefactive)",4,"cdd0000"
"589","109B-5","109B","No applicative construction","No applicative construction",5,"cffffff"
"590","110A-1","110A","Sequential but no purposive","Sequential type but no purposive type",1,"cdd0000"
"591","110A-2","110A","Purposive but no sequential","Purposive type but no sequential type",2,"c0000dd"
"592","110A-3","110A","Both","Both sequential type and purposive type",3,"c990099"
"593","111A-1","111A","Neither","No morphological type or compound type",1,"cffffff"
"594","111A-2","111A","Morphological but no compound","Morphological type but no compound type",2,"cdd0000"
"595","111A-3","111A","Compound but no morphological","Compound type but no morphological type",3,"c0000dd"
"596","111A-4","111A","Both","Both morphological type and compound type",4,"c990099"
"597","112A-1","112A","Negative affix","Negative affix",1,"cdd0000"
"598","112A-2","112A","Negative particle","Negative particle",2,"c0000dd"
"599","112A-3","112A","Negative auxiliary verb","Negative auxiliary verb",3,"c9999ff"
"600","112A-4","112A","Negative word, unclear if verb or particle","Negative word, unclear if verb or particle",4,"ccccccc"
"601","112A-5","112A","Variation between negative word and affix","Variation between negative word and affix",5,"c990099"
"602","112A-6","112A","Double negation","Double negation",6,"cffff00"
"603","113A-1","113A","Symmetric","Symmetric standard negation only: Type Sym",1,"cffffff"
"604","113A-2","113A","Asymmetric","Asymmetric standard negation only: Type Asy",2,"cdd0000"
"605","113A-3","113A","Both","Symmetric and asymmetric standard negation: Type SymAsy",3,"cff66ff"
"606","114A-1","114A","A/Fin","In finiteness: Subtype A/Fin",1,"cdd0000"
"607","114A-2","114A","A/NonReal","In reality status: Subtype A/NonReal",2,"dffff00"
"608","114A-3","114A","A/Cat","In other grammatical categories: Subtype A/Cat",3,"c0000dd"
"609","114A-4","114A","A/Fin and A/NonReal","In finiteness and reality status: Subtypes A/Fin and A/NonReal",4,"ddd0000"
"610","114A-5","114A","A/Fin and A/Cat","In finiteness and other grammatical categories: Subtypes A/Fin and A/Cat",5,"c990099"
"611","114A-6","114A","A/NonReal and A/Cat","In reality status and other grammatical categories: Subtypes A/NonReal and A/Cat",6,"d0000dd"
"612","114A-7","114A","Non-assignable","Non-assignable (no asymmetry found)",7,"cffffff"
"613","115A-1","115A","Predicate negation also present","Negative indefinites co-occur with predicate negation",1,"c0000dd"
"614","115A-2","115A","No predicate negation","Negative indefinites preclude predicate negation",2,"cdd0000"
"615","115A-3","115A","Mixed behaviour","Negative indefinites show mixed behaviour",3,"ccccccc"
"616","115A-4","115A","Negative existential construction","Negative existential construction",4,"cffff00"
"617","116A-1","116A","Question particle","Question particle",1,"c0000dd"
"618","116A-2","116A","Interrogative verb morphology","Interrogative verb morphology",2,"cdd0000"
"619","116A-3","116A","Mixture of previous two types","Question particle and interrogative verb morphology",3,"c990099"
"620","116A-4","116A","Interrogative word order","Interrogative word order",4,"cffff00"
"621","116A-5","116A","Absence of declarative morphemes","Absence of declarative morphemes",5,"ddd0000"
"622","116A-6","116A","Interrogative intonation only","Interrogative intonation only",6,"ccccccc"
"623","116A-7","116A","No interrogative-declarative distinction","No interrogative-declarative distinction",7,"cffffff"
"624","117A-1","117A","Locational","Locational Possessive",1,"c0000dd"
"625","117A-2","117A","Genitive","Genitive Possessive",2,"cdd0000"
"626","117A-3","117A","Topic","Topic Possessive",3,"cff66ff"
"627","117A-4","117A","Conjunctional","Conjunctional Possessive",4,"cffff00"
"628","117A-5","117A","'Have'","Have-Possessive",5,"c000000"
"629","118A-1","118A","Verbal encoding","Predicative adjectives have verbal encoding",1,"cdd0000"
"630","118A-2","118A","Nonverbal encoding","Predicative adjectives have nonverbal encoding",2,"c0000dd"
"631","118A-3","118A","Mixed","Predicative adjectives have mixed encoding",3,"ccccccc"
"632","119A-1","119A","Different","Split (i.e. different) encoding of nominal and locational predication",1,"cdd0000"
"633","119A-2","119A","Identical","Shared (i.e. identical) encoding of nominal and locational predication",2,"cffff00"
"634","120A-1","120A","Impossible","Zero copula is impossible",1,"cdd0000"
"635","120A-2","120A","Possible","Zero copula is possible",2,"ccccccc"
"636","121A-1","121A","Locational","Locational Comparative",1,"cffff00"
"637","121A-2","121A","Exceed","Exceed Comparative",2,"cdd0000"
"638","121A-3","121A","Conjoined","Conjoined Comparative",3,"ccccccc"
"639","121A-4","121A","Particle","Particle Comparative",4,"c0000dd"
"640","122A-1","122A","Relative pronoun","Relative pronoun",1,"cffff00"
"641","122A-2","122A","Non-reduction","Non-reduction",2,"c000000"
"642","122A-3","122A","Pronoun-retention","Pronoun-retention",3,"cdd0000"
"643","122A-4","122A","Gap","Gap",4,"c0000dd"
"644","123A-1","123A","Relative pronoun","Relative Pronoun Strategy",1,"cffff00"
"645","123A-2","123A","Non-reduction","Non-Reduction Strategy",2,"c000000"
"646","123A-3","123A","Pronoun-retention","Pronoun-Retention Strategy",3,"cdd0000"
"647","123A-4","123A","Gap","Gap Strategy",4,"c0000dd"
"648","123A-5","123A","Not possible","Not possible",5,"cffffff"
"649","124A-1","124A","Subject is left implicit","The complement subject is left implicit",1,"c0000dd"
"650","124A-2","124A","Subject is expressed overtly","The complement subject is expressed overtly",2,"cdd0000"
"651","124A-3","124A","Both construction types exist","Both construction types exist",3,"c990099"
"652","124A-4","124A","Desiderative verbal affix","'Want' is expressed as a desiderative verbal affix",4,"cffff00"
"653","124A-5","124A","Desiderative particle","'Want' is expressed as an uninflected desiderative particle",5,"dffff00"
"654","125A-1","125A","Balanced","Balanced",1,"c0000dd"
"655","125A-2","125A","Balanced/deranked","Balanced/deranked",2,"ccccccc"
"656","125A-3","125A","Deranked","Deranked",3,"cdd0000"
"657","126A-1","126A","Balanced","Balanced",1,"c0000dd"
"658","126A-2","126A","Balanced/deranked","Balanced/deranked",2,"ccccccc"
"659","126A-3","126A","Deranked","Deranked",3,"cdd0000"
"660","127A-1","127A","Balanced","Balanced",1,"c0000dd"
